"report_time","all_equity","all_A","float_A","restricted_A","change_from","scrapy_time","code"
"2019-09-30","194.06亿","194.06亿","194.06亿","16.55万","三季报","2019-12-31 15:54:51","000001"
"2019-09-30","113.02亿","97.24亿","97.15亿","902.65万","三季报","2019-12-31 15:54:45","000002"
"2019-09-30","8397.67万","8397.67万","8260.46万","137.21万","三季报","2020-02-26 14:57:29","000004"
"2019-09-30","10.59亿","10.59亿","10.58亿","59.06万","三季报","2020-02-26 14:57:35","000005"
"2019-09-30","13.50亿","13.50亿","13.48亿","168.71万","三季报","2020-02-26 14:58:03","000006"
"2019-09-30","3.46亿","3.46亿","3.09亿","3750.00万","三季报","2020-02-26 14:57:49","000007"
"2019-09-30","27.81亿","27.81亿","25.94亿","1.87亿","三季报","2020-02-26 14:58:16","000008"
"2019-09-30","25.79亿","25.79亿","25.44亿","3537.71万","三季报","2020-02-26 14:58:05","000009"
"2019-09-30","8.20亿","8.20亿","5.22亿","2.98亿","三季报","2020-02-26 14:58:14","000010"
"2019-09-30","5.96亿","5.28亿","5.26亿","193.13万","三季报","2020-02-26 14:58:21","000011"
"2019-09-30","31.08亿","19.99亿","19.58亿","4127.44万","三季报","2020-02-26 14:58:23","000012"
"2019-09-30","2.02亿","2.02亿","2.02亿","-","三季报","2020-02-26 14:58:30","000014"
"2019-09-30","24.08亿","15.97亿","15.97亿","1.95万","三季报","2020-02-26 14:58:26","000016"
"2019-09-30","5.51亿","3.03亿","3.03亿","4000.00","三季报","2020-02-26 14:58:35","000017"
"2019-09-30","16.98亿","14.34亿","9.96亿","4.39亿","三季报","2020-02-26 14:58:41","000018"
"2019-09-30","11.53亿","11.01亿","4.16亿","6.85亿","三季报","2020-02-26 14:58:45","000019"
"2019-09-30","2.83亿","1.81亿","1.81亿","-","三季报","2020-02-26 14:58:47","000020"
"2019-09-30","14.71亿","14.71亿","14.69亿","193.23万","三季报","2020-02-26 14:58:53","000021"
"2019-09-30","1.39亿","1.39亿","1.39亿","-","三季报","2020-02-26 14:58:54","000023"
"2019-09-30","4.31亿","3.93亿","3.93亿","-","三季报","2020-02-26 14:58:56","000025"
