"Main_business","Product_type","Product_name","Business_range","scrapy_time","code"
"房地产开发和物业服务","房地产、物业管理、投资咨询","房地产    、物业管理    、投资咨询","兴办实业(具体项目另行申报)；国内商业；物资供销业(不含专营、专控、专卖商品)；进出口业务(按深经发审证字第113号外贸企业审定证书规定办理)；房地产开发。","2019-12-30 15:32:31","000002"
"经有关监管机构批准的各项商业银行业务","商业银行业务","吸收公众存款    、发放短期    、中期和长期贷款    、办理国内外结算    、办理票据承兑与贴现    、发行金融债券    、代理发行    、代理兑付    、承销政府债券    、买卖政府债券    、金融债券    、从事同业拆借    、买卖    、代理买卖外汇    、从事银行卡业务    、提供信用证服务及担保    、代理收付款项及代理保险业务    、提供保管箱服务    、结汇    、售汇业务    、离岸银行业务    、资产托管业务    、办理黄金业务    、财务顾问    、资信调查    、咨询    、见证业务","吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；结汇、售汇业务；离岸银行业务；资产托管业务；办理黄金业务；财务顾问、资信调查、咨询、见证业务；经有关监管机构批准的其他业务。","2019-12-30 15:32:49","000001"
"绿色低碳城市社区建设相关的服务业务","酒店经营、物业管理、环保业务","酒店经营    、物业管理    、环保业务","生产经营各种喷胶布、针刺布、缝编尼纺布、粘合布、纤维裥棉色织、印花布以及服装、服装面料、辅料、配料、纺织制衣设备、仪器仪表、轻纺原材料。","2020-02-26 15:51:07","000005"
"生物制药","生物医药业务、游戏","注射用复方二氯醋酸二异丙胺    、注射用环磷腺苷葡胺    、注射用三磷酸胞苷二钠    、注射用氢氟酸高乌甲素    、注射用门冬氨酸钾镁    、创世神曲","通讯、计算机、软件、新材料、生物技术和生物特征识别技术、新药、生物制品、医用检测试剂和设备的研究与开发;信息咨询;计算机软件及生物技术的培训(以上各项不含限制项目)、兴办实业(具体项目另行申报)、房地产开发与经营。","2020-02-26 15:51:12","000004"
"物业管理和房屋租赁业等","物业管理及停车费、房屋租赁","物业管理及停车费    、房屋租赁","投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；自有物业租赁；环保产品的技术开发；信息咨询（不含限制项目）；项目投资；矿业投资；矿产品的销售（不含专营、专控、专卖商品），经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；投资金融服务项目并进行投资管理（不得从事证券投资活动；不得以公开方式募集资金开展投资活动；不得从事公开募集基金管理业务）；从事其他投资与投资管理。","2020-02-26 15:51:14","000007"
"从事房地产开发与销售","房产租赁、房产销售","房产租赁    、房产销售","土地开发、房产销售及租赁、物业管理。","2020-02-26 15:51:19","000006"
"新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业","高新技术产业、生物医药、房地产","高新技术产业    、生物医药    、房地产","新材料、新能源材料、新能源等高新技术产业项目的投资及经营；现代生物医药项目的投资及经营；房地产开发经营。","2020-02-26 15:51:25","000009"
"专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案","轨道交通、酒店服务","机车车辆运营维护系列    、供电系统运营维护系列    、轨道交通信号系统    、工务维护系列    、站段调度系列    、酒店服务","轨道交通、计息机网络的技术开发、技术咨询、技术转让、技术服务；销售开发后的产品；计算机系统服务；货物进出口；技术进出口；代理进出口；项目投资；物业管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）。","2020-02-26 15:51:29","000008"
"从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。","燃气销售服务、园林建设、园林设计、苗木销售","燃气销售服务    、园林建设    、园林设计    、苗木销售","投资与管理；制造计算机软硬件;计算系统服务;技术开发、技术服务、经济信息咨询；销售林木（不含种子）、花卉（不含种子）、草坪（不含种子）；机械设备、建筑材料；电子产品、体育用品；货物进出口；代理进出口；技术进出口。","2020-02-26 15:51:30","000010"
"从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等","房地产开发、房屋租赁、物业管理、交通运输、饮食服务","房地产开发    、房屋租赁    、物业管理    、交通运输    、饮食服务","房地产开发及商品房销售，商品楼宇的建筑、管理，房屋租赁，建设监理。国内商业、物资供销业（不含专营、专卖、专控商品）。","2020-02-26 15:51:31","000011"
"平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售","玻璃、太阳能产品","平板玻璃    、工程玻璃    、太阳能产品    、电子玻璃及显示器件业务","平板玻璃、特种玻璃、工程玻璃、节能及以玻璃为介质的能源产品的生产和销售、多晶硅和太阳能组件的生产和销售、电子玻璃及显示器件的生产和销售以及光伏电站的建设和运营等。","2020-02-26 15:51:32","000012"
"房地产开发和销售","房地产销售、物业管理、代建、综合服务","房地产销售    、物业管理    、代建    、综合服务","在合法取得土地使用权范围内从事房地产开发经营业务；国内商业、物资供销业（不含专营、专控、专卖商品）；兴办实业（具体项目另报）；自有物业租赁。","2020-02-26 15:51:33","000014"
"电动自行车、自行车及零配件的生产和销售以及物业管理。","自行车及零配件销售、锂电池材料","自行车及零配件销售    、锂电池材料","生产装配各种类型的自行车及自行车零件、部件、配件、健身车、机械产品、运动器械、精细化工、碳纤维复合材料、家用小电器及配套原件（不含许可证管理产品）","2020-02-26 15:51:39","000017"
