"code","c_actual_controller","c_final_controller","c_chairman","c_chairman_secretary","c_legal_representative","c_general_manager"
"000001","--","--","谢永林","周强","谢永林","胡跃飞"
"000002","--","--","郁亮","朱旭","郁亮","祝九胜"
"000004","李林琳","李林琳","黄翔","徐文苏","黄翔","黄翔"
"000005","丁芃,郑列列","丁芃,郑列列","丁芃","罗晓春","丁芃","郑列列"
"000006","深圳市人民政府国有资产监督管理委员会","深圳市人民政府国有资产监督管理委员会","赵宏伟","杜汛","赵宏伟","朱新宏"
"000007","王玩虹、陈卓婷、林昌珍、李强、陆尔东、陈军、刘红","王玩虹、陈卓婷、林昌珍、李强、陆尔东、陈军、刘红","黄国铭","陈伟彬","陆波","陆波"
"000008","国家开发投资集团有限公司","国务院国有资产监督管理委员会","王志全","王志刚","王志全","钟岩"
"000009","-","-","陈政立","郭山清","陈政立","陈政立"
"000010","沈玉兴","沈玉兴","陈飞霖","金小刚","曾嵘","周成斌"
"000011","深圳市国有资产监督管理委员会","深圳市国有资产监督管理委员会","刘声向","范维平","刘声向","王航军"
"000012","--",,"陈琳","杨昕宇","陈琳","王健"
"000014","深圳市人民政府国有资产监督管理委员会","深圳市人民政府国有资产监督管理委员会","陈勇","王凡","陈勇","温毅"
"000016","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","刘凤喜","吴勇军","刘凤喜","周彬"
"000017","-","-","李海","孙龙龙","李海","李海"
"000018","陈略","陈略","陈略","杨春玲","陈略","彭立志"
"000019","深圳市人民政府国有资产监督管理委员会","深圳市人民政府国有资产监督管理委员会","祝俊明","杜建国","祝俊明","胡翔海"
"000020","李中秋","李中秋","李中秋","牛卓","李中秋","李中秋"
"000021","中国电子信息产业集团有限公司","国务院国有资产监督管理委员会","谭文鋕","李丽杰","谭文鋕","郑国荣"
"000023","林宏润","林宏润","林宏润","刘耿豪","林宏润","林宏润"
"000025","深圳市国有资产监督管理委员会","深圳市国有资产监督管理委员会","富春龙","祁鹏","富春龙","吕航"
"000026","中国航空技术国际控股有限公司","国务院国有资产监督管理委员会","黄勇峰","潘波","黄勇峰","陈立彬"
"000027","深圳市人民政府国有资产监督管理委员会","深圳市人民政府国有资产监督管理委员会","熊佩锦","邵崇","熊佩锦","李英峰"
"000028","中国医药集团有限公司","国务院国有资产监督管理委员会","刘勇","陈常兵","林兆雄","林兆雄"
"000030","吉林省人民政府国有资产监督管理委员会","吉林省人民政府国有资产监督管理委员会","张丕杰","王晓平","甘先国","甘先国"
"000031","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","周政","宋冰心","周政","曹荣根"
"000032","中国电子信息产业集团有限公司","国务院国有资产监督管理委员会","宋健","钟彦","宋健","徐效臣"
"000034","郭为","郭为","郭为","刘昕","郭为","郭为"
"000035","严圣军、茅洪菊","严圣军、茅洪菊","严圣军","程健","严圣军","曹德标"
"000036","--",,"丁跃","孔庆富","丁跃","李云"
"000037","-","--","李新威","张杰","李新威","陈玉辉"
"000038","姜剑","姜剑","史利军","邢美敏","史利军","史利军"
"000039","--","--","王宏","于玉群","王宏","麦伯良"
"000042","黄光苗","黄光苗","姚日波","王艺瑾","姚日波","彭伟东"
"000043","中国航空技术国际控股有限公司","国务院国有资产监督管理委员会","许永军","杨祥","许永军","石正林"
"000045","深圳市人民政府国有资产监督管理委员会","深圳市人民政府国有资产监督管理委员会","朱军","姜澎","朱军","朱梅柱"
"000046","卢志强","卢志强","卢志强","舒高勇","卢志强","宋宏谋"
"000048","陈华","陈华","熊伟","胡琴","熊伟","巴根"
