"code","first_industry","second_industry","c_industry"
"000001","银行","银行","银行 — 银行"
"000002","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000004","医药生物","化学制药","医药生物 — 化学制药"
"000005","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"000006","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000007","商业贸易","商业物业经营","商业贸易 — 商业物业经营"
"000008","机械设备","运输设备","机械设备 — 运输设备"
"000009","综合","综合Ⅱ","综合 — 综合Ⅱ"
"000010","建筑装饰","园林工程","建筑装饰 — 园林工程"
"000011","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000012","建筑材料","玻璃制造","建筑材料 — 玻璃制造"
"000014","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000016","家用电器","视听器材","家用电器 — 视听器材"
"000017","汽车","其他交运设备","汽车 — 其他交运设备"
"000018","建筑装饰","专业工程","建筑装饰 — 专业工程"
"000019","商业贸易","贸易Ⅱ","商业贸易 — 贸易Ⅱ"
"000020","电子","电子制造","电子 — 电子制造"
"000021","计算机","计算机设备","计算机 — 计算机设备"
"000023","建筑材料","其他建材","建筑材料 — 其他建材"
"000025","汽车","汽车服务","汽车 — 汽车服务"
"000026","轻工制造","家用轻工","轻工制造 — 家用轻工"
"000027","公用事业","电力","公用事业 — 电力"
"000028","医药生物","医药商业Ⅱ","医药生物 — 医药商业Ⅱ"
"000030","汽车","汽车零部件","汽车 — 汽车零部件"
"000031","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000032","通信","通信设备","通信 — 通信设备"
"000034","计算机","计算机应用","计算机 — 计算机应用"
"000035","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"000036","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000037","公用事业","电力","公用事业 — 电力"
"000038","传媒","营销传播","传媒 — 营销传播"
"000039","机械设备","金属制品","机械设备 — 金属制品"
"000042","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000043","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000045","电子","光学光电子","电子 — 光学光电子"
"000046","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000048","农林牧渔","饲料Ⅱ","农林牧渔 — 饲料Ⅱ"
"000049","电子","电子制造","电子 — 电子制造"
"000050","电子","光学光电子","电子 — 光学光电子"
"000055","建筑装饰","专业工程","建筑装饰 — 专业工程"
"000056","商业贸易","商业物业经营","商业贸易 — 商业物业经营"
"000058","商业贸易","商业物业经营","商业贸易 — 商业物业经营"
"000059","化工","石油化工","化工 — 石油化工"
"000060","有色金属","工业金属","有色金属 — 工业金属"
"000061","商业贸易","商业物业经营","商业贸易 — 商业物业经营"
"000062","电子","其他电子","电子 — 其他电子"
"000063","通信","通信设备","通信 — 通信设备"
"000065","建筑装饰","专业工程","建筑装饰 — 专业工程"
"000066","计算机","计算机设备","计算机 — 计算机设备"
"000068","公用事业","环保工程及服务","公用事业 — 环保工程及服务"
"000069","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000070","通信","通信设备","通信 — 通信设备"
"000078","医药生物","医药商业Ⅱ","医药生物 — 医药商业Ⅱ"
"000088","交通运输","港口Ⅱ","交通运输 — 港口Ⅱ"
"000089","交通运输","机场Ⅱ","交通运输 — 机场Ⅱ"
"000090","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000096","化工","石油化工","化工 — 石油化工"
"000099","交通运输","航空运输Ⅱ","交通运输 — 航空运输Ⅱ"
"000100","电子","光学光电子","电子 — 光学光电子"
"000150","医药生物","医疗服务Ⅱ","医药生物 — 医疗服务Ⅱ"
"000151","商业贸易","贸易Ⅱ","商业贸易 — 贸易Ⅱ"
"000153","医药生物","化学制药","医药生物 — 化学制药"
"000155","公用事业","电力","公用事业 — 电力"
"000156","传媒","文化传媒","传媒 — 文化传媒"
"000157","机械设备","专用设备","机械设备 — 专用设备"
"000158","计算机","计算机应用","计算机 — 计算机应用"
"000159","化工","石油化工","化工 — 石油化工"
"000166","非银金融","证券","非银金融 — 证券"
"000301","化工","化学纤维","化工 — 化学纤维"
"000333","家用电器","白色家电","家用电器 — 白色家电"
"000338","汽车","汽车零部件","汽车 — 汽车零部件"
"000400","电气设备","电气自动化设备","电气设备 — 电气自动化设备"
"000401","建筑材料","水泥制造","建筑材料 — 水泥制造"
"000402","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000403","医药生物","生物制品Ⅱ","医药生物 — 生物制品Ⅱ"
"000404","家用电器","白色家电","家用电器 — 白色家电"
"000407","公用事业","燃气Ⅱ","公用事业 — 燃气Ⅱ"
"000408","化工","化学制品","化工 — 化学制品"
"000409","综合","综合Ⅱ","综合 — 综合Ⅱ"
"000410","机械设备","通用机械","机械设备 — 通用机械"
"000415","非银金融","多元金融","非银金融 — 多元金融"
"000416","非银金融","多元金融","非银金融 — 多元金融"
"000417","商业贸易","一般零售","商业贸易 — 一般零售"
"000419","商业贸易","一般零售","商业贸易 — 一般零售"
"000420","化工","化学纤维","化工 — 化学纤维"
"000421","公用事业","燃气Ⅱ","公用事业 — 燃气Ⅱ"
"000422","化工","化学原料","化工 — 化学原料"
"000423","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"000425","机械设备","专用设备","机械设备 — 专用设备"
"000426","有色金属","工业金属","有色金属 — 工业金属"
"000428","休闲服务","酒店Ⅱ","休闲服务 — 酒店Ⅱ"
"000429","交通运输","高速公路Ⅱ","交通运输 — 高速公路Ⅱ"
"000430","休闲服务","景点","休闲服务 — 景点"
"000488","轻工制造","造纸Ⅱ","轻工制造 — 造纸Ⅱ"
"000498","建筑装饰","基础建设","建筑装饰 — 基础建设"
"000501","商业贸易","一般零售","商业贸易 — 一般零售"
"000502","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000503","医药生物","医疗服务Ⅱ","医药生物 — 医疗服务Ⅱ"
"000504","医药生物","生物制品Ⅱ","医药生物 — 生物制品Ⅱ"
"000505","农林牧渔","农产品加工","农林牧渔 — 农产品加工"
"000506","有色金属","黄金","有色金属 — 黄金"
"000507","交通运输","港口Ⅱ","交通运输 — 港口Ⅱ"
"000509","医药生物","医疗服务Ⅱ","医药生物 — 医疗服务Ⅱ"
"000510","化工","化学原料","化工 — 化学原料"
"000513","医药生物","化学制药","医药生物 — 化学制药"
"000514","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000517","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000518","医药生物","生物制品Ⅱ","医药生物 — 生物制品Ⅱ"
"000519","国防军工","地面兵装","国防军工 — 地面兵装"
"000520","交通运输","航运Ⅱ","交通运输 — 航运Ⅱ"
"000521","家用电器","白色家电","家用电器 — 白色家电"
"000523","化工","化学制品","化工 — 化学制品"
"000524","休闲服务","旅游综合Ⅱ","休闲服务 — 旅游综合Ⅱ"
"000525","化工","化学制品","化工 — 化学制品"
"000526","传媒","文化传媒","传媒 — 文化传媒"
"000528","机械设备","专用设备","机械设备 — 专用设备"
"000529","传媒","文化传媒","传媒 — 文化传媒"
"000530","机械设备","通用机械","机械设备 — 通用机械"
"000531","公用事业","电力","公用事业 — 电力"
"000532","非银金融","多元金融","非银金融 — 多元金融"
"000533","电气设备","高低压设备","电气设备 — 高低压设备"
"000534","医药生物","生物制品Ⅱ","医药生物 — 生物制品Ⅱ"
"000536","电子","光学光电子","电子 — 光学光电子"
"000537","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000538","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"000539","公用事业","电力","公用事业 — 电力"
"000540","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000541","电子","光学光电子","电子 — 光学光电子"
"000543","公用事业","电力","公用事业 — 电力"
"000544","公用事业","水务Ⅱ","公用事业 — 水务Ⅱ"
"000545","化工","化学制品","化工 — 化学制品"
"000546","建筑材料","水泥制造","建筑材料 — 水泥制造"
"000547","国防军工","地面兵装","国防军工 — 地面兵装"
"000548","交通运输","高速公路Ⅱ","交通运输 — 高速公路Ⅱ"
"000550","汽车","汽车整车","汽车 — 汽车整车"
"000551","机械设备","专用设备","机械设备 — 专用设备"
"000552","采掘","煤炭开采Ⅱ","采掘 — 煤炭开采Ⅱ"
"000553","化工","化学制品","化工 — 化学制品"
"000554","化工","石油化工","化工 — 石油化工"
"000555","计算机","计算机应用","计算机 — 计算机应用"
"000557","交通运输","铁路运输Ⅱ","交通运输 — 铁路运输Ⅱ"
"000558","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000559","汽车","汽车零部件","汽车 — 汽车零部件"
"000560","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000561","通信","通信设备","通信 — 通信设备"
"000563","非银金融","多元金融","非银金融 — 多元金融"
"000564","商业贸易","一般零售","商业贸易 — 一般零售"
"000565","化工","化学制品","化工 — 化学制品"
"000566","医药生物","化学制药","医药生物 — 化学制药"
"000567","非银金融","多元金融","非银金融 — 多元金融"
"000568","食品饮料","饮料制造","食品饮料 — 饮料制造"
"000570","机械设备","通用机械","机械设备 — 通用机械"
"000571","采掘","煤炭开采Ⅱ","采掘 — 煤炭开采Ⅱ"
"000572","汽车","汽车整车","汽车 — 汽车整车"
"000573","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000576","综合","综合Ⅱ","综合 — 综合Ⅱ"
"000581","汽车","汽车零部件","汽车 — 汽车零部件"
"000582","交通运输","港口Ⅱ","交通运输 — 港口Ⅱ"
"000584","机械设备","专用设备","机械设备 — 专用设备"
"000585","电气设备","高低压设备","电气设备 — 高低压设备"
"000586","通信","通信设备","通信 — 通信设备"
"000587","轻工制造","家用轻工","轻工制造 — 家用轻工"
"000589","化工","橡胶","化工 — 橡胶"
"000590","医药生物","中药Ⅱ","医药生物 — 中药Ⅱ"
"000591","公用事业","电力","公用事业 — 电力"
"000592","农林牧渔","林业Ⅱ","农林牧渔 — 林业Ⅱ"
"000593","公用事业","燃气Ⅱ","公用事业 — 燃气Ⅱ"
"000595","机械设备","通用机械","机械设备 — 通用机械"
"000596","食品饮料","饮料制造","食品饮料 — 饮料制造"
"000598","公用事业","水务Ⅱ","公用事业 — 水务Ⅱ"
"000599","化工","橡胶","化工 — 橡胶"
"000600","公用事业","电力","公用事业 — 电力"
"000601","公用事业","电力","公用事业 — 电力"
"000603","有色金属","工业金属","有色金属 — 工业金属"
"000605","公用事业","水务Ⅱ","公用事业 — 水务Ⅱ"
"000606","计算机","计算机应用","计算机 — 计算机应用"
"000607","传媒","营销传播","传媒 — 营销传播"
"000608","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000609","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000611","纺织服装","纺织制造","纺织服装 — 纺织制造"
"000612","有色金属","工业金属","有色金属 — 工业金属"
"000613","休闲服务","酒店Ⅱ","休闲服务 — 酒店Ⅱ"
"000615","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000616","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000617","非银金融","多元金融","非银金融 — 多元金融"
"000619","建筑材料","其他建材","建筑材料 — 其他建材"
"000620","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000622","汽车","汽车零部件","汽车 — 汽车零部件"
"000623","医药生物","化学制药","医药生物 — 化学制药"
"000625","汽车","汽车整车","汽车 — 汽车整车"
"000626","商业贸易","贸易Ⅱ","商业贸易 — 贸易Ⅱ"
"000627","非银金融","保险","非银金融 — 保险"
"000628","综合","综合Ⅱ","综合 — 综合Ⅱ"
"000629","有色金属","稀有金属","有色金属 — 稀有金属"
