"c_name","c_type"
"3D打印","general"
"3D玻璃","other"
"4D打印","other"
"5G","general"
"5G主设备","other"
"5G运营商","other"
"AI芯片","other"
"ATM机","other"
"BIT概念","other"
"ETC","general"
"GPU","other"
"HPV疫苗","other"
"IGBT","other"
"IPV6","other"
"IP概念","other"
"K12教育","other"
"LNG加气站","other"
"MCU","other"
"MDI","other"
"MiniLED","general"
"MSCI概念","general"
"MSCI预期","general"
"MTBE","other"
"NFC","other"
"OLED","general"
"OLED显示模组","other"
"OLED材料","other"
"OLED芯片","other"
"OLED设备制造","other"
"OLED面板","other"
"P2P概念","other"
"PA66","other"
"PM2.5","general"
"PPP概念","general"
"PTA","other"
"PVC","other"
"SAAS","other"
"SDR概念","other"
"SNS概念","other"
"ST板块","general"
"TDI","other"
"TMT","other"
"VR平台","other"
"VR影视","other"
"VR游戏","other"
"VR直播","other"
"VR设备","other"
"一号文件","other"
"一带一路","general"
"丁二烯","other"
"三星","other"
"三网融合","other"
"上海国资改革","general"
"上海自贸区","general"
"专网通信","other"
"世界杯","other"
"丙烯酸","general"
"东湖高新园区","other"
"东盟北部湾","other"
"东盟自贸区","general"
"两桶油改革","general"
"中以自贸区","other"
"中俄自贸区","other"
"中兵系","other"
"中医药","other"
"中国电科系","other"
"中央政务区","other"
"中字头股票","general"
"中巴经济走廊","other"
"中德合作","other"
"中材系","other"
"中概股回归","other"
"中澳自贸区","other"
"中科院系","other"
"中粮系","other"
"中航系","other"
"中船系","general"
"中远系","other"
"中铁系","other"
"中非合作","other"
"中韩自贸区","general"
"举牌","general"
"乙二醇","other"
"乙烯","other"
"乙肝治疗","other"
"乡村振兴","general"
"乳业","general"
"二手车","other"
"二维码识别","general"
"二胎概念","general"
"云南国资改革","other"
"云印刷","other"
"云游戏","general"
"云计算","general"
"云通信","other"
"互联网+","general"
"互联网保险","general"
"互联网券商","other"
"互联网医疗","general"
"互联网家装","other"
"互联网平台","other"
"互联网彩票","general"
"互联网期货","other"
"互联网法院","other"
"互联网电力","other"
"互联网电视","other"
"互联网金融","general"
"互联网钢铁","other"
"互联网银行","other"
"交通一卡通","other"
"京东概念","other"
"京东金融概念","other"
"京津冀一体化","general"
"人参","other"
"人工智能","general"
"人机交互","other"
"人民币升值","other"
"人民币贬值受益","general"
"人民币防伪","other"
"人脑工程","other"
"人脸识别","general"
"人造太阳","other"
"人造肉","general"
"仪电仪表","other"
"仿制药","other"
"仿制药一致性评价","general"
"休闲零食","other"
"众筹概念","other"
"优先股概念","other"
"传感器","other"
"低碳","other"
"住房租赁","other"
"体外诊断","other"
"体感交互","other"
"体育产业","general"
"体育用品","other"
"供应链金融","general"
"供气","other"
"供销社","other"
"依法治国概念","other"
"便利店","other"
"保健品","other"
"信托概念","general"
"债转股","general"
"健康中国","general"
"储能","other"
"儿童医药医疗","other"
"儿童消费品","other"
"元器件","other"
"充电桩","general"
"光伏概念","general"
"光伏玻璃","other"
"光刻胶","general"
"光纤","other"
"光纤光缆","other"
"光通信设备","other"
"兜底增持","other"
"全屋定制","other"
"全息手机","other"
"全运会","other"
"全面屏","other"
"公路建设","other"
"兰州自贸区","other"
"共享办公","other"
"共享医院","other"
"共享单车","general"
"共享汽车","other"
"共享经济","other"
"养老地产","other"
"养老概念","general"
"养鸡","general"
"兽药","other"
"内存","other"
"再生金属","other"
"军工","general"
"军工改制","other"
"军民融合","general"
"军用无人机","other"
"农业供给侧改革","other"
"农业种植","general"
"农信社改革","other"
"农垦改革","other"
"农机","general"
"农村环境治理","other"
"农村电商","general"
"农村金融","other"
"冬奥会","other"
"冬虫夏草","other"
"冰雪产业","general"
"冷链物流","general"
"分子诊断","other"
"分拆上市意愿","general"
"创业板重组松绑","general"
"创投","general"
"创新药","other"
"制冷剂","other"
"动漫","other"
"动物疫苗","general"
"化妆护肤品","other"
"化肥","other"
"北京国资改革","other"
"北京环球影城","other"
"北汽新能源","general"
"北部湾自贸区","other"
"区块链","general"
"区块链储备","other"
"区块链应用","other"
"区块链底层","other"
"医保目录","other"
"医学影像","other"
"医疗器械","general"
"医疗器械概念","general"
"医疗机器人","other"
"医药安全","other"
"医药电商","general"
"华为概念","general"
"华为海思概念股","general"
"单抗","other"
"南京国资改革","other"
"博彩","other"
"卫星导航","general"
"危废处理","other"
"厄尔尼诺概念","other"
"厕所革命","other"
"去IOE","other"
"参股360","other"
"参股万达商业","general"
"参股保险","general"
"参股券商","general"
"参股安世半导体","other"
"参股新三板","general"
"参股新股","other"
"参股民营银行","other"
"参股银行","general"
"双十一","other"
"双氧水","other"
"反恐","other"
"口罩","other"
"可燃冰","general"
"可降解塑料","other"
"台湾概念股","general"
"台风影响股","other"
"史玉柱概念","other"
"合同能源管理","other"
"吉林国资改革","other"
"含B股","other"
"哮喘","other"
"商品新零售","other"
"商汤科技概念","other"
"商誉减值","general"
"商超百货","other"
"啤酒概念","general"
"四川国资改革","other"
"园林开发","other"
"固废处理","general"
"固态电池","other"
"固态硬盘","other"
"国产伟哥","other"
"国产操作系统","general"
"国产替代","other"
"国产航母","general"
"国产软件","general"
"国家大基金持股","other"
"国开行","other"
"国改双百行动","other"
"国资驰援","general"
"国际板","other"
"图像识别","other"
"土地流转","general"
"土壤修复","other"
"在线教育","general"
"在线旅游","general"
"地下管网","general"
"地方国资改革","other"
"地沟油概念","other"
"地热能","other"
"地理信息","other"
"垃圾分类","general"
"垃圾发电","other"
"埃博拉概念","other"
"基因测序","general"
"基因疗法","other"
"基因芯片","other"
"基建工程","other"
"基站天线","other"
"基站射频","other"
"塑化剂","other"
"塑料钞票","other"
"增碳剂","other"
"壳资源","general"
"外汇局持股","other"
"外资券商影子股","general"
"多晶硅","other"
"多肽药","other"
"大上海","other"
"大国重器标的","other"
"大数据","general"
"大疆创新概念","other"
"大豆","general"
"大连自贸区","other"
"大飞机","general"
"天津国资改革","other"
"天津自贸区","general"
