pid,股票代码,职务,薪酬,直接持股数,高管类型
15184,000001,外部监事,34万,-,监事会
14571,000001,非执行董事,-,-,董事会
39077,000001,外部监事,30.4万,-,监事会
52034,000001,董事会秘书,318.4万,-,监事会
32650,000001,非执行董事,-,-,董事会
22926,000001,职工监事,77.51万,-,监事会
22519,000001,独立董事,-,-,董事会
35982,000001,独立董事,-,-,董事会
53661,000001,独立董事,39.7万,-,董事会
28054,000001,执行董事,-,-,董事会
16189,000001,职工监事,223.9万,-,监事会
35270,000001,执行董事,457.2万,4104,董事会
32985,000001,独立董事,-,-,董事会
42780,000001,非执行董事,-,-,董事会
4740,000001,独立董事,-,-,董事会
33004,000001,"董事长,非执行董事",477.7万,-,董事会
28481,000001,监事,30.4万,-,监事会
47323,000001,监事长,371.3万,-,监事会
1844,000001,执行董事,386.6万,-,董事会
46823,000001,非执行董事,31.1万,-,董事会
41611,000001,独立董事,41.06万,-,董事会
23972,000001,非执行董事,-,-,董事会
53119,000001,执行董事,359.4万,6000,董事会
42438,000001,外部监事,35.44万,-,监事会
37216,000002,独立董事,55.5万,-,董事会
9222,000002,独立董事,55.5万,-,董事会
23205,000002,职工监事,264.4万,2万,监事会
380,000002,董事,33.3万,-,董事会
12920,000002,独立董事,55.5万,-,董事会
36802,000002,董事,1005万,90.4万,董事会
29104,000002,董事会秘书,849.2万,-,监事会
14073,000002,独立董事,55.5万,-,董事会
17782,000002,"董事会副主席,董事",33.3万,-,董事会
32657,000002,董事,927.3万,231.4万,董事会
4595,000002,"首席执行官,总裁",1128万,-,监事会
19085,000002,监事会主席,880.2万,149.1万,监事会
15821,000002,"董事会主席,董事",1253万,730.6万,董事会
16397,000002,监事,33.3万,-,监事会
19594,000002,董事,33.3万,-,董事会
49011,000004,独立董事,-,-,董事会
12362,000004,董事,-,-,董事会
13655,000004,董事,-,-,董事会
32253,000004,监事长,7.39万,100,监事会
33164,000004,董事,32.9万,8000,董事会
33250,000004,董事,-,-,董事会
20330,000004,监事,-,-,监事会
20414,000004,独立董事,-,-,董事会
38496,000004,监事,10.71万,-,监事会
32585,000004,独立董事,-,-,董事会
14093,000004,董事,-,-,董事会
38230,000004,财务总监,-,-,监事会
22607,000004,"董事长,董事",37.77万,-,董事会
44835,000005,"董事局主席,董事",55.7万,-,董事会
26592,000005,董事,15.7万,-,董事会
22175,000005,监事,19.5万,-,监事会
31307,000005,职工监事,23.4万,-,监事会
20247,000005,董事,36.5万,-,董事会
13591,000005,监事,-,-,监事会
42099,000005,董事,-,-,董事会
46611,000005,独立董事,12万,-,董事会
4203,000005,"董事局副主席,董事",40.1万,-,董事会
12333,000005,独立董事,-,-,董事会
2041,000005,董事,26.2万,-,董事会
51680,000005,监事,29.9万,-,监事会
32271,000005,董事局秘书,33.9万,-,监事会
