股票代码,公司名称,英文名称,曾用名,所属申万行业,主营业务,公司网址,注册资金,员工人数,电话,传真,邮政编码,办公地址,公司简介,所属地域,简写名称
000001,平安银行股份有限公司,"Ping An Bank Co., Ltd.",深发展A->S深发展A->深发展A,银行 — 银行,经有关监管机构批准的各项商业银行业务,www.bank.pingan.com,194.06亿元,32758,86-0755-82080387,86-0755-82080386,518001,广东省深圳市罗湖区深南东路5047号,"平安银行股份有限公司是中国第一家面向社会公众公开发行股票并上市的商业银行.主营业务经营范围是经有关监管机构批准的各项商业银行业务.公司在22个经济发达城市设立了约300家分支机构的全国性商业银行,在北京、中国香港设立代表处,并与境外众多国家和地区的600多家银行建立了代理行关系.2010年,深发展荣获""最受尊敬银行""、""最佳企业社会责任奖""、 ""最强势盈利银行""、""最佳零售银行""、""中国最佳供应链金融服务提供商""等殊荣.总行营业部、深圳江苏大厦支行等15家网点荣获年度""中国银行业文明规范服务千佳示范单位""称号。",广东省,平安银行
000002,万科企业股份有限公司,"China Vanke Co., Ltd.",深万科A->万科A->G万科A,房地产 — 房地产开发Ⅱ,房地产开发和物业服务,www.vanke.com,113.02亿元,112059,86-0755-25606666;86-0852-23098888,86-0755-25531696;86-0852-23288097,518083,广东省深圳市盐田区大梅沙环梅路33号万科中心,万科企业股份有限公司的主营业务为房地产开发和物业服务；公司主要产品及服务为房地产、物业管理、投资咨询；公司荣获中央电视台颁发的“2018年CCTV中国十佳上市公司”、国际权威金融杂志《机构投资者》（Institutional Investor）颁发的“2018年度亚洲区（日本除外）最佳企业管理团队和公司治理奖”、《董事会》杂志颁发的第十三届中国上市公司董事会“金圆桌奖”董事会治理特殊贡献奖等若干奖项。,广东省,万科Ａ
000004,深圳中国农大科技股份有限公司,"Shenzhen Cau Technology Co.,Ltd",深安达A->ST深安达->深安达A->北大高科->国农科技->*ST国农->G*ST国农->*ST国农->ST国农->*ST国农->ST国农,医药生物 — 化学制药,生物制药,www.sz000004.cn,8397.67万元,210,86-0755-83521596,86-0755-83521727,518000,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,"深圳中国农大科技股份有限公司主营经营通讯、计算机、软件、新材料、生物技术和生物特征识别技术、新药、生物制品、医用检测试剂和设备的研究与开发;信息咨询;计算机软件及生物技术的培训(以上各项不含限制项目)、兴办实业(具体项目另行申报)、房地产开发与经营.旗下拥有山东华泰制药有限公司、深圳五洲医药公司、武汉软件有限公司、北京国农置业有限公司等子公司.医药产业上,公司主要产品有克林霉素磷酸酯、门冬氨酸钾镁、水溶性维生素等.公司为进一步扩大公司房地产主营业务,于2007年收购了北京国农置业有限公司33.33%的股权,收购完成后将持有该公司99%的股权。",广东省,国农科技
000005,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,深原野A->深星源A->世纪星源->ST星源->*ST星源->ST星源->GST星源->ST星源,公用事业 — 环保工程及服务,绿色低碳城市社区建设相关的服务业务,www.fountain.com.cn,10.59亿元,745,86-0755-82208888,86-0755-82207055,518001,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,深圳世纪星源股份有限公司1990年最初设立时的主营业务是与纺织、印染、时装相关的行业，经过二十多年的市场洗练，主营业务逐渐转型为与绿色低碳城市社区建设相关的服务业务方向，即城市交通、清洁能源基础设施建设经营、不动产开发建设、投资和综合物业管理服务、环境处理。,广东省,世纪星源
000006,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",深振业A->G深振业,房地产 — 房地产开发Ⅱ,从事房地产开发与销售,www.zhenye.com,13.5亿元,377,86-0755-25863381;86-0755-25863061,86-0755-25863012,518057,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,"深圳市振业(集团)股份有限公司是以土地开发、房产销售及租赁、物业管理为主业的国有控股上市公司，拥有深圳市振业物业管理有限公司、贵州振业董酒股份有限公司，广西振业(北海)股份有限公司等多家所属企业.公司主要从事房地产行业，先后开发了振业大厦、翠海花园、星海名城、振业城等代表性项目，产品类别涉及普通居民住宅、商用物业、Townhouse等多种类型，累计开发面积达到100万平方米。公司先后被授予中国房地产综合效益百强企业、中国上市公司百强企业，2006年公司开发的振业城项目顺利通过建设部3A终审，被列为""国家节能示范小区""。",广东省,深振业Ａ
000007,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",深达声A->ST达声->深达声A->G深达声->深达声A->ST达声->ST零七->零七股份,商业贸易 — 商业物业经营,物业管理和房屋租赁业等,www.sz000007.com,3.46亿元,84,86-0755-83280053,86-0755-83281722,518049,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,深圳市全新好股份有限公司主营业务主要为物业管理和房屋租赁业等。公司主要产品和服务有旅游饮食、物业管理及停车费、房屋租赁。,广东省,全新好
000008,神州高铁技术股份有限公司,"China High Speed Railway Technology Co.,Ltd.",深锦兴A->亿安科技->ST亿安->*ST亿安->ST亿安->亿安科技->宝利来->G宝利来->宝利来->*ST宝投->ST宝利来->宝利来,机械设备 — 运输设备,专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案,www.shenzhou-gaotie.com,27.81亿元,2631,86-010-56500561,86-010-56500561,100044,北京市海淀区高粱桥斜街59号院1号楼中坤大厦16层,"神州高铁技术股份有限公司成立于1989年10月。2015年1月,公司通过发行股份及支付现金购买资产的方式,完成了对北京新联铁科技股份有限公司100%股权的收购,并正式更名为“神州高铁技术股份有限公司”,由此进入轨道交通安全运维行业。
　　神州高铁是以轨道交通运营维护及安全监测、检测为主业的平台化上市公司,是我国轨道交通运营安全维护领域领先的系统化解决方案和综合数据服务提供商,专业致力于轨道交通安全检测监测技术、数据采集及分析技术和智能化维护技术的研发与应用。公司下属十余家参控股子公司,形成了无损探伤、机器视觉监测、自动测量、环保清洗等核心技术,产品和服务覆盖轨道交通机车车辆、工务、供电、信息化...",北京市,神州高铁
000009,中国宝安集团股份有限公司,"China Baoan Group Co., Ltd.",深宝安A->ST深宝安->深宝安A->S深宝安A,综合 — 综合Ⅱ,新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业,www.chinabaoan.com,25.79亿元,13620,86-0755-25170336;86-0755-25170382,86-0755-25170367;86-0755-25170300,518020,广东省深圳市罗湖区笋岗东路1002号宝安广场A座28-29层,"中国宝安集团股份有限公司是一家综合类股份制集团公司,主营业务是高新技术产业、房地产业、生物医药业,曾连创""新中国第一家股份制企业、发行新中国第一张股票、第一张可转换债券、第一张中长期认股权证、成功策划武汉商场成为深交所第一家异地上市公司、首次通过证券二级市场收购上市公司上海延中实业、开办新中国第一个财务顾问公司安信财务,协助川盐化、甘长风等20多家国企改制上市""等多项新中国第一.公司为广东省和深圳市确定为重点发展的70家、30家大型企业集团之一和深圳市政府评定的深圳市最高企业类别:一类一级企业.目前拥有上市公司马应龙药业(600993)和全资企业及控股企业二十多家。",广东省,中国宝安
000010,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",深华新A->ST深华新->深华新->*ST华新->S*ST华新->SST华新->ST华新->深华新->美丽生态,建筑装饰 — 园林工程,从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。,www.eco-beauty.cn,8.2亿元,545,86-0755-88260216,86-0755-88260215,518101,广东省深圳市宝安区宝兴路6号海纳百川总部大厦B座1701-1703室,深圳美丽生态股份有限公司2013年股权分置改革完成后，主营业务确定为园林绿化业务。目前公司两家全资子公司具有风景园林工程设计专项甲级、市政行业设计专业乙级、工程设计（建筑工程）乙级及文物保护工程勘察古建筑设计丙级、旅游规划设计资质证乙级、国家壹级城市园林绿化企业资质、市政公用工程施工总承包贰级（含多项增项）、绿化造林施工资质乙级、绿化造林设计资质乙级等多项设计和施工资质，公司资质可比肩国内一线企业，具有较强的综合竞争力。,广东省,美丽
000011,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,深物业A->ST深物业->深物业A->S深物业A->S*ST物业->S深物业A,房地产 — 房地产开发Ⅱ,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等,www.szwuye.com.cn,5.96亿元,5504,86-0755-82211020,86-0755-82210610;86-0755-82212043,518014,广东省深圳市罗湖区人民南路国贸大厦39层、42层,深圳市物业发展(集团)股份有限公司主营业务为主要服务为从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等。主要服务为房地产业务、物业管理业务、房屋租赁业务、餐饮业务、仓储业务。公司于2019年7月荣获“深圳房地产开发行业品牌价值企业”和“建圳30年副会长单位”称号，并已连续多年荣获“中国房地产开发企业500强”、“广东省企业500强”等诸多荣誉。,广东省,深物业Ａ
