机构名称,类型
万家增强收益债券型证券投资基金,基金
万家瑞富灵活配置混合型证券投资基金,基金
上投摩根大盘蓝筹股票型证券投资基金,基金
上投摩根智选30混合型证券投资基金,基金
东兴众智优选灵活配置混合型证券投资基金,基金
东兴核心成长混合型证券投资基金A,基金
东吴新产业精选混合型证券投资基金,基金
东方互联网嘉混合型证券投资基金,基金
东方支柱产业灵活配置混合型证券投资基金,基金
东方红信用债债券型证券投资基金A,基金
东方红创新优选三年定期开放混合型证券投资基金,基金
东方红目标优选三年定期开放混合型证券投资基金,基金
东方阿尔法精选灵活配置混合型发起式证券投资基金A,基金
中国平安人寿保险股份有限公司,保险公司
中国证券金融股份有限公司,一般法人
中央汇金资产管理有限责任公司,一般法人
中欧养老产业混合型证券投资基金,基金
中欧双利债券型证券投资基金A,基金
中欧康裕混合型证券投资基金A,基金
中欧时代先锋股票型发起式证券投资基金A,基金
中欧明睿新常态混合型证券投资基金A,基金
中欧瑾源灵活配置混合型证券投资基金A,基金
中欧瑾通灵活配置混合型证券投资基金A,基金
中海分红增利混合型证券投资基金,基金
中海增强收益债券型证券投资基金A类,基金
中海混改红利主题精选灵活配置混合型证券投资基金,基金
中海蓝筹灵活配置混合型证券投资基金,基金
中融中证银行指数分级证券投资基金,基金
中融稳健添利债券型证券投资基金,基金
中融策略优选混合型证券投资基金A,基金
中融融裕双利债券型证券投资基金A,基金
中证金融地产交易型开放式指数证券投资基金,基金
中证银行交易型开放式指数证券投资基金,基金
中证银行交易型开放式指数证券投资基金联接基金A,基金
中银信用增利债券型证券投资基金,基金
中银健康生活混合型证券投资基金,基金
中银双息回报混合型证券投资基金,基金
中银多策略灵活配置混合型证券投资基金,基金
中银恒利半年定期开放债券型证券投资基金,基金
中银新回报灵活配置混合型证券投资基金,基金
中银永利半年定期开放债券型证券投资基金,基金
中银沪深300等权重指数证券投资基金(LOF),基金
中银瑞利灵活配置混合型证券投资基金A,基金
中银稳健双利债券型证券投资基金A,基金
中银稳健策略灵活配置混合型证券投资基金,基金
中银腾利灵活配置混合型证券投资基金A,基金
中银行业优选灵活配置混合型证券投资基金,基金
中银转债增强债券型证券投资基金A类,基金
中银量化价值混合型证券投资基金,基金
中银金融地产混合型证券投资基金,基金
交银施罗德中证互联网金融指数分级证券投资基金,基金
交银施罗德周期回报灵活配置混合型证券投资基金A,基金
交银施罗德多策略回报灵活配置混合型证券投资基金A,基金
交银施罗德数据产业灵活配置混合型证券投资基金,基金
交银施罗德深证300价值交易型开放式指数证券投资基金联接基金,基金
交银施罗德瑞鑫定期开放灵活配置混合型证券投资基金,基金
交银施罗德荣鑫灵活配置混合型证券投资基金,基金
人保双利优选混合型证券投资基金A,基金
信诚中证800金融指数分级证券投资基金,基金
信达澳银新目标灵活配置混合型证券投资基金,基金
信达澳银新财富灵活配置混合型证券投资基金,基金
信达澳银红利回报混合型证券投资基金,基金
光大保德信国企改革主题股票型证券投资基金,基金
全国社保基金104组合,社保基金
兴全可转债混合型证券投资基金,基金
兴全新视野灵活配置定期开放混合型发起式证券投资基金,基金
兴银鼎新灵活配置混合型证券投资基金,基金
农银汇理区间策略灵活配置混合型证券投资基金,基金
农银汇理永益定期开放混合型证券投资基金,基金
创金合信优选回报灵活配置混合型证券投资基金,基金
创金合信沪深300指数增强型发起式证券投资基金A,基金
创金合信金融地产精选股票型证券投资基金A,基金
