申万二级行业,申万一级行业
银行,银行
房地产开发Ⅱ,房地产
化学制药,医药生物
环保工程及服务,公用事业
商业物业经营,商业贸易
运输设备,机械设备
综合Ⅱ,综合
园林工程,建筑装饰
玻璃制造,建筑材料
视听器材,家用电器
其他交运设备,汽车
专业工程,建筑装饰
贸易Ⅱ,商业贸易
电子制造,电子
计算机设备,信息设备
其他建材,建筑材料
汽车服务,汽车
家用轻工,轻工制造
电力,公用事业
医药商业Ⅱ,医药生物
汽车零部件,汽车
通信设备,信息设备
计算机应用,信息服务
营销传播,传媒
金属制品,机械设备
光学光电子,电子
饲料Ⅱ,农林牧渔
石油化工,化工
工业金属,有色金属
其他电子,电子
港口Ⅱ,交通运输
机场Ⅱ,交通运输
航空运输Ⅱ,交通运输
医疗服务Ⅱ,医药生物
文化传媒,传媒
专用设备,机械设备
证券,非银金融
化学纤维,化工
白色家电,家用电器
电气自动化设备,电气设备
水泥制造,建筑材料
生物制品Ⅱ,医药生物
燃气Ⅱ,公用事业
化学制品,化工
通用机械,机械设备
多元金融,非银金融
一般零售,商业贸易
化学原料,化工
中药Ⅱ,医药生物
酒店Ⅱ,休闲服务
高速公路Ⅱ,交通运输
景点,休闲服务
造纸Ⅱ,轻工制造
基础建设,建筑装饰
农产品加工,农林牧渔
黄金,有色金属
地面兵装,国防军工
航运Ⅱ,交通运输
旅游综合Ⅱ,休闲服务
高低压设备,电气设备
水务Ⅱ,公用事业
汽车整车,汽车
煤炭开采Ⅱ,采掘
铁路运输Ⅱ,交通运输
饮料制造,食品饮料
橡胶,化工
林业Ⅱ,农林牧渔
纺织制造,纺织服装
保险,非银金融
稀有金属,有色金属
金属非金属新材料,有色金属
元件Ⅱ,电子
食品加工,食品饮料
其他采掘Ⅱ,采掘
包装印刷Ⅱ,轻工制造
半导体,电子
互联网传媒,传媒
航空装备,国防军工
钢铁,钢铁
医疗器械Ⅱ,医药生物
种植业,农林牧渔
畜禽养殖,农林牧渔
渔业,农林牧渔
电源设备,电气设备
专业零售,商业贸易
塑料Ⅱ,化工
通信运营,通信
仪器仪表,机械设备
电机,电气设备
石油开采Ⅱ,采掘
物流Ⅱ,交通运输
航天装备,国防军工
服装家纺,纺织服装
装修装饰,建筑装饰
餐饮Ⅱ,休闲服务
采掘服务,采掘
公交Ⅱ,交通运输
动物保健,农林牧渔
其他轻工制造,轻工制造
房屋建设,建筑装饰
船舶制造,国防军工
农业综合Ⅱ,农林牧渔
有色冶炼加工,有色金属
传媒,信息服务
基础化学,化工
园区开发Ⅱ,房地产
电气设备,机械设备
通用设备,机械设备
医疗器械服务,医药生物
半导体及元件,电子
通信服务,信息服务
交运设备服务,交运设备
包装印刷,轻工制造
