股票代码,pid
000001,35270
000002,4595
000004,22607
000005,25710
000006,23277
000007,16294
000008,46461
000009,48411
000010,3436
000011,37705
000012,32157
000014,24199
000016,42384
000017,7692
000018,2094
000019,21542
000020,25212
000021,18645
000023,22425
000025,38974
000026,44816
000027,419
000028,43454
000030,145
000031,22851
000032,12836
000034,29221
000035,52463
000036,34951
000037,48192
000038,2845
000039,54270
000042,1898
000043,53691
000045,16248
000046,3985
000048,1641
000049,34160
000050,24159
000055,44617
000056,49176
000059,28542
000060,43319
000061,7711
000062,15474
000063,23134
000065,14512
000066,18885
000068,40599
000069,17939
000070,6224
000078,49242
000088,42540
000089,49454
000090,43259
000096,14069
000099,17522
000150,2253
000151,3474
000153,15985
000155,28903
000156,17502
000157,23358
000158,7628
000159,48897
000166,7162
000301,30012
000333,16734
000338,1052
000400,1741
000401,6019
000402,52525
000403,3245
000404,8078
000407,1806
000408,36024
000409,15279
000410,11518
000415,6044
000416,5801
000417,28858
000419,20282
000420,39476
000421,15205
000422,22040
000423,53656
000425,44877
000426,9870
000429,19936
000430,1595
000488,18945
000498,27885
000501,53514
000502,34571
000503,13409
000504,35515
000505,46929
000507,23769
000509,755
000510,21366
000513,14008
000514,38484
000517,26337
000518,12050
000519,15547
000520,12907
000521,17838
000523,42577
000524,38011
000525,6163
000528,4221
000529,47409
000530,52974
000531,34715
000532,8133
000533,30891
000534,51823
000536,16476
000537,19876
000538,24515
000539,1461
000540,29696
000541,32331
000543,866
000544,11356
000545,27961
000546,41315
000547,22131
000548,16585
000550,46574
000551,2272
000552,1501
000553,34705
000554,33736
000555,12664
000557,36725
000558,4270
000559,16645
000560,5650
000561,24920
000563,39466
000564,12547
000565,37892
000566,52914
000567,47940
000568,2535
000570,24883
000571,9261
000572,31379
000573,53639
000576,24821
000581,29989
000582,48816
000584,11795
000585,13804
000586,48248
000589,15894
000590,8936
000591,10904
000592,24975
000593,36949
000595,47220
000596,50516
000598,9832
000599,11887
000600,35031
000601,47707
000603,11770
000605,1976
000606,425
000607,44191
000608,10122
000609,18184
000611,32449
000612,50436
000613,39482
000615,34500
000616,28122
000617,29193
000619,52002
000620,16708
000622,28599
000623,36630
000625,6677
000626,47153
000627,42791
000628,37942
000629,52384
000630,43352
000631,47347
000632,54383
000633,22777
000635,9994
000636,43715
000637,31010
000638,43182
000639,30448
000650,28508
000651,2160
000652,35769
000655,37461
000656,36461
000657,18525
000659,36468
000661,24427
000662,43914
000666,28911
000667,20406
000668,45680
000669,5363
000670,6516
000671,20965
000672,51260
000673,4539
000676,13335
000677,9129
000678,33371
000679,6821
000680,49922
000681,33531
000682,1260
000683,29833
000685,34521
000686,9913
000687,7215
000688,52669
000690,25838
000691,3882
000692,35460
000695,43700
000697,47825
000698,11524
000700,33358
000701,38598
000702,47
000703,18804
000705,50768
000707,2391
000708,32500
000709,2182
000710,32421
000711,5915
000712,42917
000713,10004
000715,32559
000716,51869
000717,30203
000718,52958
000719,47774
000720,51565
000722,46562
000723,48569
000725,37528
000726,39216
000727,38483
000728,37268
000729,27362
000731,13540
000732,26213
000733,12883
000735,44335
000736,31521
000737,30772
000738,46602
000739,51048
000750,50169
000751,11014
000752,32618
000753,12156
000755,37452
000756,31986
000757,11631
000759,13709
000761,1639
000766,3026
000767,45684
000768,50734
000776,1298
000777,36101
000778,46502
000779,50433
000780,13830
000782,53516
000783,47356
000785,42918
000786,40769
000788,9564
000789,49300
000790,41587
000791,44367
000792,25377
000793,13646
000795,46057
000796,44413
000797,35410
000798,7852
000799,565
000800,44490
000801,27524
000802,12891
000803,37086
000806,10327
000807,51968
000809,33605
000810,6078
000811,12776
000812,5366
000813,21220
000815,41682
000816,39771
000818,26628
000819,29382
000820,32787
000821,53241
000822,31294
000823,48118
000825,31114
000826,27727
000828,12358
000829,29121
000830,38247
000831,44505
000835,54379
000837,40649
000838,15378
000839,38529
000848,39741
000850,46361
000851,2300
000852,43345
000856,43358
000858,16760
000859,25586
000860,50160
000861,36706
000862,25106
000863,37959
000868,24957
000869,38989
000875,9601
000876,41892
000877,52940
000878,42113
000880,7906
000881,14805
000882,46367
000885,11826
000886,12676
000887,5797
000888,7221
000889,44385
000890,6104
000892,48929
