股票代码,pid
000018,8984
000020,25212
000023,22425
000034,29221
000046,23690
000048,54308
000055,44617
000056,9922
000078,44500
000159,48082
000416,54309
000426,29216
000502,54310
000510,18407
000513,33213
000517,3019
000525,8239
000540,43712
000545,47207
000560,5650
000566,4081
000567,38908
000572,25232
000573,54311
000587,11955
000592,18310
000593,52249
000609,10366
000611,32449
000613,54312
000615,6912
000620,23672
000622,16535
000627,5344
000633,17178
000637,54313
000638,19387
000639,54314
000667,38865
000671,48870
000672,51260
000687,15785
000688,19517
000697,47825
000700,16939
000710,40399
000718,52958
000732,26213
000735,39702
000766,6793
000782,43651
000796,49927
000812,5366
000813,52233
000821,53241
000863,54315
000876,2238
000887,32340
000902,33013
000908,51158
000929,14924
000935,14843
000953,54316
000955,29962
000967,54317
000971,23120
000981,13021
000989,10674
000997,8470
001696,32155
002002,20192
002004,31033
002005,22626
002007,32670
002015,54318
002019,23339
002020,5225
002023,13069
002024,23451
002026,29571
002027,53789
002031,44717
002033,31033
002035,4275
002041,49688
002043,38070
002044,19036
002045,47588
002048,54169
002054,35759
002058,54319
002062,36873
002064,28184
002067,30479
002071,54320
002074,38493
002076,41880
002078,25203
002079,38341
002083,16527
002086,28477
002094,42688
002095,12167
002098,54321
002103,49402
002104,265
002105,4567
002107,28344
002108,50140
002111,25004
002115,34072
002121,421
002123,6847
002124,36654
002126,29536
002131,35841
002133,52091
002135,13103
002139,49581
002144,43134
002146,53987
002148,47474
002150,52147
002151,15930
002153,20263
002156,22860
002157,25150
002158,17698
002160,28564
002162,16669
002165,17740
002166,20576
002170,38163
002171,5770
002172,48555
002174,47183
002175,36148
002178,29369
002182,13738
002191,20628
002193,7534
002201,11121
002206,5976
002209,5983
002211,8979
002214,13578
002219,19907
002220,35729
002223,465
002226,54322
002227,49464
002233,20265
002234,34116
002239,12225
002242,47443
002244,44761
002245,48555
002248,54323
002251,49499
002253,14095
002255,46846
002259,31426
002261,27042
002264,54324
002266,45334
002271,38775
002277,7744
002280,39958
002283,30685
002287,3220
002290,54325
002292,1692
002293,13276
002298,15228
002301,5336
002303,17663
002306,43337
002309,4162
002311,43084
002313,54326
002315,50793
002316,54327
002317,2463
002318,36660
002319,54328
002324,10492
002325,16145
002328,42196
002329,50940
002331,47768
002333,29067
002334,47346
002335,32586
002337,54329
002341,3306
002345,26039
002347,50757
002350,52461
002351,29481
002352,18707
002355,48655
002357,54330
002360,894
002361,31160
002364,16317
002365,34992
002366,46050
002367,45318
002370,27763
002373,11260
002374,38897
002377,13428
002378,35394
002381,26292
002382,40320
002385,39366
002387,54331
002391,21221
002392,43067
002397,28979
002398,10618
002402,20574
002404,37257
002406,27999
002407,22731
002408,54332
002410,31936
002412,43033
002414,36710
002416,49653
002417,53783
002420,39207
002421,7822
002422,2881
002424,20658
002426,45971
002429,21887
002432,7147
002436,37318
002438,2279
002441,15128
002446,10913
002448,26157
002452,38738
002456,5252
002458,23227
002459,6498
002460,2609
002464,42698
002466,20608
002467,33512
002469,40960
002470,27917
002474,27901
002476,54333
002478,9367
002483,27832
002487,32552
002491,45802
002492,45055
002493,8765
002494,44159
002496,40253
002497,44955
002499,30836
002502,15503
002503,23815
002506,17517
002508,10033
002512,46808
002513,46684
002515,38428
002516,41490
002517,54334
002521,13746
002524,13599
002530,4381
002531,3370
002535,52069
002539,2512
002546,51847
002549,34281
002550,43048
002551,12914
002555,1491
002557,20009
002558,23646
002566,36918
002567,10309
002568,32327
002569,41214
002570,14691
002571,48614
002577,10696
002578,24464
002579,8198
002582,14638
002583,24157
002585,21361
002587,2662
002592,18539
002594,879
002595,45546
002599,5432
002600,29210
002606,2781
002610,16241
002613,45637
002615,7406
002618,22932
002620,424
002624,28322
002625,10308
002626,45380
002628,30800
002629,47956
002630,26022
002631,11773
002634,32048
002636,21161
002646,5583
002647,47029
002651,26869
002655,14054
002658,30174
002660,34324
002661,48358
002663,31109
002668,52796
002674,45578
002675,21702
002681,42782
002689,54031
002690,32194
002697,48762
002700,15630
002701,1096
