股票代码,公司名称
000004,李林琳
000005,"丁芃,郑列列"
000006,深圳市人民政府国有资产监督管理委员会
000007,王玩虹、陈卓婷、林昌珍、李强、陆尔东、陈军、刘红
000008,国务院国有资产监督管理委员会
000010,沈玉兴
000011,深圳市国有资产监督管理委员会
000014,深圳市人民政府国有资产监督管理委员会
000016,国务院国有资产监督管理委员会
000019,深圳市人民政府国有资产监督管理委员会
000021,国务院国有资产监督管理委员会
000025,深圳市国有资产监督管理委员会
000026,国务院国有资产监督管理委员会
000027,深圳市人民政府国有资产监督管理委员会
000028,国务院国有资产监督管理委员会
000030,吉林省人民政府国有资产监督管理委员会
000031,国务院国有资产监督管理委员会
000032,国务院国有资产监督管理委员会
000035,严圣军、茅洪菊
000038,姜剑
000042,黄光苗
000043,国务院国有资产监督管理委员会
000045,深圳市人民政府国有资产监督管理委员会
000049,惠州市人民政府国有资产监督管理委员会
000050,国务院国有资产监督管理委员会
000058,深圳市人民政府国有资产监督管理委员会
000059,国务院国有资产管理委员会
000060,广东省人民政府国有资产监督管理委员会
000061,深圳市人民政府国有资产监督管理委员会
000062,梁光伟
000065,国务院国有资产监管管理委员会
000066,国务院国有资产监督管理委员会
000068,山西省国有资本投资运营有限公司
000069,国务院国有资产监督管理委员会
000070,深圳市人民政府国有资产监督管理委员会
000088,深圳市人民政府国有资产监督管理委员会
000089,深圳市国有资产监督管理委员会
000090,深圳市人民政府国有资产监督管理委员会
000096,深圳市南山区国有资产监督管理委员会
000099,中华人民共和国财政部
000150,刘绍喜
000151,国务院资产管理委员会
000153,李荣杰
000155,四川省国有资产监督管理委员会
000156,杭州市财政局
000158,石家庄市国有资产监督管理委员会
000166,中央汇金投资有限责任公司
000301,缪汉根、朱红梅
000333,何享健
000338,山东省国有资产监督管理委员会
000400,国务院国有资产监督管理委员会
000401,北京市人民政府国有资产监督管理委员会
000402,北京市西城区国有资产监督管理委员会
000404,绵阳市国有资产监督管理委员会
000408,肖永明
000409,山东省人民政府
000410,沈阳市国有资产监督管理委员会
000415,海南省慈航公益基金会
000417,合肥市国有资产管理委员会
000419,长沙市国有资产监督管理委员会
000420,吉林省人民政府国有资产监督管理委员会
000421,南京市人民政府国有资产监督管理委员会
000422,宜昌市国有资产监督管理委员会
000423,国务院国有资产监督管理委员会
000425,徐州市人民政府
000428,湖南省人民政府国有资产监督管理委员会
000429,广东省国有资产监督管理委员会
000430,张家界市人民政府国有资产监督管理委员会
000488,寿光市国有资产监督管理办公室
000498,山东省人民政府国有资产监督管理委员会
000501,武汉市国有资产监督管理委员会
000503,国务院国有资产监督管理委员会
000504,湖南省人民政府
000505,北京市国有资产监督管理委员会
000506,郭昌玮
000507,珠海市人民政府国有资产监督管理委员会
000509,李雪峰、张子若
000514,重庆市国有资产监督管理委员会
000519,国务院国有资产监督管理委员会
000520,陈德顺
000521,绵阳市国有资产监督管理委员会
000523,广州市国有资产监督管理委员会
000524,广州市人民政府国有资产监督管理委员会
000526,教育部
000528,广西壮族自治区国有资产管理委员会
000529,广东省人民政府
000531,广州开发区管理委员会
000532,珠海市人民政府国有资产监督管理委员会
000534,林伟光
000536,大同股份有限公司
000537,国务院国有资产监督管理委员会
000539,广东省人民政府国有资产监督管理委员会
000541,广东省人民政府国有资产监督管理委员会
000543,安徽省国有资产监督管理委员会
000544,郑州市人民政府
000546,赵璧生、赵辉
000547,国务院国有资产监督管理委员会
000548,长沙市国有资产监督管理委员会
000550,南昌市国有资产监督管理委员会、国务院国有资产监督管理委员会
000551,苏州市人民政府
000552,甘肃省国有资产监督管理委员会
000553,国务院国有资产监督管理委员会
000554,国务院国有资产监督管理委员会
000557,宁夏回族自治区人民政府
000558,成都市国有资产监督管理委员会
000559,鲁伟鼎
000561,陕西省人民政府国有资产监督管理委员会
000563,陕西省人民政府国有资产监督管理委员会
000564,海南省慈航公益基金会
000565,重庆市国有资产监督管理委员会
000568,泸州市国有资产监督管理委员会
000570,常州市人民政府国有资产监督管理委员会
000571,2万
000576,胡成中
000581,江苏省无锡市国有资产管理委员会
000582,广西自治区国有资产监督管理委员会
000584,艾迪、乔徽
000585,海南省慈航公益基金会
000589,贵阳市人民政府国有资产监督管理委员会
000590,教育部
000591,国务院国有资产监督管理委员会
000595,孙珩超
000596,安徽省亳州市人民政府
000598,成都市国有资产监督管理委员会
000599,青岛市国有资产监督管理委员会
000600,河北省政府国有资产监督管理委员会
000603,赵满堂
000605,天津市水务局
000607,杭州日报报业集团
000616,海南省慈航公益基金会
000617,中国石油天然气集团有限公司
000619,安徽省国有资产监督管理委员会
000623,李秀林及一致行动人
000625,国务院国有资产监督管理委员会
000626,胡凯军
000628,成都高新技术产业开发区管理委员会
000629,鞍钢集团有限公司
000630,安徽省国有资产监督管理委员会
000631,鲁伟鼎
000635,国务院国有资产监督管理委员会
000636,广东省人民政府国有资产监督管理委员会
000650,杨文龙
000651,珠海市国有资产监督管理委员会
