股票代码,pid
000001,33004
000002,15821
000004,22607
000005,44835
000006,17903
000007,4765
000008,16198
000009,48411
000010,36058
000011,33399
000012,32842
000014,7972
000016,2417
000017,7692
000018,8984
000019,7843
000020,25212
000021,9105
000023,22425
000025,20259
000026,49022
000027,49958
000028,22760
000030,34960
000031,14974
000032,24316
000034,29221
000035,9387
000036,27842
000037,33926
000038,2845
000039,14527
000042,16814
000043,39186
000045,19129
000046,23690
000048,19878
000049,23780
000050,37050
000055,44617
000056,9922
000058,11098
000059,19081
000060,32412
000061,47602
000062,15474
000063,43425
000065,12799
000066,28857
000068,40599
000069,28927
000070,22732
000078,44500
000088,53031
000089,27900
000090,33419
000096,36612
000099,11717
000100,46229
000150,21450
000151,37097
000153,50438
000155,3293
000156,42641
000157,23358
000158,27765
000159,48897
000166,24544
000301,30012
000333,16734
000338,1052
000400,46058
000401,21773
000402,49865
000403,23791
000404,4411
000407,1611
000408,44944
000409,48271
000410,11849
000415,35921
000416,24641
000417,28532
000419,20282
000420,41600
000421,36485
000422,26999
000423,14937
000425,30677
000426,29216
000428,48423
000429,40586
000430,12460
000488,3732
000498,26932
000501,53227
000502,11372
000503,8400
000504,47535
000505,52265
000506,14607
000507,23246
000509,2321
000510,18407
000513,33213
000514,25881
000517,3019
000518,12050
000519,33183
000520,35899
000521,48269
000523,33771
000524,38011
000525,8239
000526,22320
000528,16630
000529,4489
000530,48901
000531,15721
000532,49610
000533,30891
000534,4335
000536,25885
000537,41937
000538,34309
000539,3225
000540,43712
000541,18773
000543,50591
000544,11356
000545,47207
000546,41315
000547,45851
000548,9845
000550,19963
000551,38804
000552,33173
000553,32057
000554,17930
000555,29221
000557,1717
000558,38731
000559,31367
000560,5650
000561,47747
000563,18931
000564,21033
000565,47461
000566,4081
000567,38908
000568,30455
000570,17849
000571,1351
000572,31379
000573,3508
000576,52926
000581,49540
000582,13687
000584,39841
000585,13804
000586,48248
000587,11955
000589,22168
000590,11393
000591,38021
000592,18310
000593,52249
000595,39257
000596,39084
000598,34127
000599,18796
000600,4887
000601,53778
000603,37709
000605,29126
000606,425
000607,33913
000608,46086
000609,10366
000611,32449
000612,16266
000613,39482
000615,6912
000616,1431
000617,2139
000619,38689
000620,16708
000622,16535
000623,22673
000625,53098
000626,47153
000627,5344
000628,3015
000629,18159
000630,26399
000631,31367
000632,22773
000633,22777
000635,4603
000636,40871
000637,19397
000638,19387
000639,30448
000650,30639
000651,2160
000652,35769
000655,1085
000656,16638
