股票代码,pid
000001,52034
000002,29104
000004,33164
000005,32271
000006,50108
000007,19947
000008,39883
000009,30773
000010,43944
000011,19029
000012,12394
000014,16621
000016,27359
000017,10184
000018,3579
000019,54285
000020,30820
000021,30985
000023,37893
000025,13407
000026,44932
000027,52341
000028,21362
000030,37981
000031,45640
000032,23866
000034,17947
000035,48632
000036,50445
000037,16071
000038,17340
000039,42626
000042,52771
000043,16047
000045,31795
000046,16896
000048,31458
000049,27193
000050,34329
000055,31329
000056,356
000058,27813
000059,19116
000060,11483
000061,14405
000062,1826
000063,35408
000065,40419
000066,14177
000068,41730
000069,24969
000070,30456
000078,27167
000088,25354
000089,36558
000090,38010
000096,28202
000099,27075
000100,8532
000150,10746
000151,10362
000153,21438
000155,30856
000156,13870
000157,33401
000158,40309
000159,38406
000166,24372
000301,22073
000333,32583
000338,10181
000400,48179
000401,49507
000402,6527
000403,25197
000404,17233
000407,1806
000408,8887
000409,14993
000410,20760
000415,33511
000416,3956
000417,3593
000419,15067
000420,11778
000421,41283
000422,14935
000423,44033
000425,12227
000426,43899
000428,17824
000429,32828
000430,33629
000488,23291
000498,41988
000501,53210
000502,34571
000503,38263
000504,35232
000505,49334
000506,14933
000507,35400
000509,13090
000510,44090
000513,24966
000514,30921
000517,5677
000518,47995
000519,45789
000520,35899
000521,38799
000523,50933
000524,24351
000525,44671
000526,5122
000528,4182
000529,53076
000530,43849
000531,29211
000532,42195
000533,35350
000534,37000
000536,39282
000537,26480
000538,8199
000539,28566
000540,9874
000541,18773
000543,53572
000544,9793
000545,18837
000546,25055
000547,37801
000548,36438
000550,37664
000551,37841
000552,50571
000553,42160
000554,3837
000555,47004
000557,12229
000558,24550
000559,14622
000560,13143
000561,31537
000563,24185
000564,34945
000565,32862
000566,19004
000567,12708
000568,14067
000570,38537
000571,11087
000572,33898
000573,13316
000576,4303
000581,6747
000582,26585
000584,6174
000585,25460
000586,54061
000587,11955
000589,25615
000590,31381
000591,47325
000592,44803
000593,7144
000595,28909
000596,2842
000598,4684
000599,24286
000600,17653
000601,20534
000603,16576
000605,34664
000606,3210
000607,21051
000608,47563
000609,11456
000611,15101
000612,34173
000613,2482
000615,31643
000616,36400
000617,45616
000619,11105
000620,34982
000622,35252
000623,14850
000625,31459
000626,28452
000627,7204
000628,49169
000629,38407
000630,20839
000631,52410
000632,3762
000633,25295
000635,24720
000636,5877
000637,17023
000638,21914
000639,31796
000650,11710
000651,24218
000652,35769
000655,35857
000656,53525
000657,40711
000659,35723
000661,13806
000662,2795
000663,6863
000665,46561
000666,5239
000667,17589
000668,41303
000669,27646
000670,10632
000671,32524
000672,20844
000673,7717
000676,44920
000677,8173
000678,9137
000679,4237
000680,21815
000681,35622
000682,19114
000683,34695
000685,5717
000686,53906
000687,26671
000688,39320
000690,25838
000691,6767
000692,12080
000695,53272
000697,16565
000698,6331
000700,8396
000701,43710
000702,43168
000703,11346
000705,42842
000707,53875
000708,6693
000709,30724
000710,1138
000711,26516
000712,9790
000713,35109
000715,51473
000716,30517
000717,44765
000718,47221
000719,10278
000720,29889
000722,31420
000723,53526
000725,20787
000726,16035
000727,36044
000728,7817
000729,48905
000731,25067
000732,19098
000733,26189
000735,22090
000736,13759
000737,21167
000738,10189
000739,40113
000750,7085
000751,15672
000752,48607
000753,16454
000755,6508
000756,40740
000757,8646
000759,34838
000760,12157
000761,17749
000762,47069
000766,32698
000767,44685
000768,14498
000776,24652
000777,53982
000778,36357
000779,30942
000780,8116
000782,21182
000783,11237
000785,94
000786,15328
000788,36316
000789,1205
000790,42722
000791,25061
000792,915
000793,45772
000795,31440
000796,1660
000797,48725
000798,36209
000799,34263
000800,42983
000801,38399
000802,21607
000803,11719
000806,3331
000807,23161
000809,52413
000810,20718
000811,20065
000812,22566
000813,27584
000815,2624
000816,42987
000818,7121
000819,30272
000820,22344
000821,30087
000822,45234
000823,24023
000825,22968
000826,24483
000828,24198
000829,49174
000830,4690
000831,32722
000833,5503
000835,23316
000836,10889
000837,49896
000838,39433
000839,48365
000848,48861
000850,42288
000851,35079
000852,51422
000856,18875
000859,12988
000860,50160
000861,37704
000862,32872
000863,37959
000868,11240
000869,48428
000875,25895
000876,32866
000877,8121
000878,46916
000880,26434
000881,24090
000882,51024
000883,21079
000885,47226
000886,2474
000887,23516
000888,10500
000889,4327
000890,2055
000892,17446
000893,41814
000895,12514
000897,46578
000899,7287
000900,51299
000901,14036
000902,51759
000903,31831
000905,41129
000906,54219
000908,47103
000909,50712
000910,35360
000911,5874
000912,45482
000913,4047
000915,15036
000917,25142
000918,31566
000919,33921
000920,4619
000921,47479
000922,53185
000923,35955
000925,12323
000926,54142
000927,39382
000928,41819
000929,46835
000930,53451
000931,32235
000932,8418
000933,12213
000935,8337
000936,20987
000937,51438
000938,21095
000948,39949
000949,6952
000950,39069
000951,34462
000952,14656
000953,39211
000955,23016
000957,41549
000958,28858
000959,25207
000960,42366
000961,41993
000962,19206
000963,221
000965,3659
000966,7769
000967,5706
000968,22738
000969,10687
000970,33319
000971,14470
000972,45163
000973,14325
000975,10241
000976,8746
000977,15148
000978,10792
000980,32202
000981,12761
000982,40683
000983,34420
000985,43298
000987,29016
000988,1149
000989,33544
000990,19150
000993,25911
000996,41905
000997,49479
000998,14219
000999,26880
001696,21466
001872,29719
001896,28093
001965,3970
001979,25751
002001,45748
002002,21730
002003,28443
002004,35571
002005,39779
002006,48617
002007,8923
002009,38638
002010,33581
002012,32464
002013,9837
002014,36718
002015,10879
002016,7480
002017,43461
002019,31100
002020,7466
002022,26137
002023,23073
002024,49918
002025,48557
002026,43329
002027,11234
002028,39341
002029,18353
002030,842
002031,28296
002032,52606
002033,9371
002034,39471
002035,45051
002036,24602
002037,50313
002038,16045
002039,27704
002040,7615
002041,6699
002042,13061
002043,51795
002044,9655
002045,52596
002046,12316
002047,49816
002048,49569
002049,10906
002050,16298
002051,13818
002052,39423
002053,45815
002054,8441
002055,36297
002056,17084
002057,27288
002058,38270
002059,50070
002060,14466
002061,9480
002062,32994
002063,28152
002064,25027
002065,4355
002066,32780
002067,12477
002068,39164
002069,5317
002071,10341
002072,11369
002073,36033
002074,35332
002075,3110
002076,30667
002077,22991
002078,52289
002079,18654
002080,50832
002081,20529
002082,4136
002083,7577
002084,4392
002085,23123
002086,11106
002087,13618
002088,14834
002089,39618
002090,43845
002091,46845
002092,30720
002093,35451
002094,6048
002095,41599
002096,39988
002097,12356
002098,15008
002099,44581
002100,14920
002101,33380
002102,7185
002103,7157
002104,12436
002105,39889
002106,14743
002107,2547
002108,51126
002109,38893
002110,46203
002111,37191
002112,12762
002113,31715
002114,19722
002115,41270
002116,32036
002117,50049
002118,11784
002119,14169
002120,12823
002121,15927
002122,21571
002123,50904
002124,4531
002125,50791
002126,17759
002127,35581
002128,5274
002129,16909
002130,20722
002131,31448
002132,660
002133,52458
002134,17525
002135,37342
002136,20279
002137,7845
002138,33844
002139,46547
002140,24806
002141,43786
002142,5968
002144,29205
002145,7325
002146,45593
002147,24988
002148,37875
002149,16250
002150,3735
002151,26854
002152,31428
002153,41238
002154,35061
002155,38241
