股票代码,公司名称,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000001,中国平安保险(集团)股份有限公司-集团本级-自有资金,96.19亿,49.57%,流通A股,1,2019-09-30
000001,全国社保基金一零四组合,5846.94万,0.30%,流通A股,10,2019-09-30
000001,香港中央结算有限公司,14.22亿,7.33%,流通A股,2,2019-09-30
000001,中国平安人寿保险股份有限公司-自有资金,11.86亿,6.11%,流通A股,3,2019-09-30
000001,中国平安人寿保险股份有限公司-传统-普通保险产品,4.40亿,2.27%,流通A股,4,2019-09-30
000001,中国证券金融股份有限公司,4.29亿,2.21%,流通A股,5,2019-09-30
000001,中央汇金资产管理有限责任公司,2.16亿,1.11%,流通A股,6,2019-09-30
000001,深圳中电投资股份有限公司,1.61亿,0.83%,流通A股,7,2019-09-30
000001,河南鸿宝企业管理有限公司,1.03亿,0.53%,流通A股,8,2019-09-30
000001,交通银行-易方达50指数证券投资基金,6214.36万,0.32%,流通A股,9,2019-09-30
000002,深圳市地铁集团有限公司,32.43亿,28.71%,流通A股,1,2019-09-30
000002,中国工商银行股份有限公司-平安中证粤港澳大湾区发展主题交易型开放式指数证券投资基金,1.71亿,1.51%,流通A股,10,2019-09-30
000002,HKSCC NOMINEES LIMITED,15.78亿,13.97%,流通H股,2,2019-09-30
000002,深圳市钜盛华股份有限公司,8.00亿,7.08%,流通A股,3,2019-09-30
000002,安邦人寿保险股份有限公司-保守型投资组合,4.85亿,4.29%,流通A股,4,2019-09-30
000002,国信证券-工商银行-国信金鹏分级1号集合资产管理计划,4.57亿,4.05%,流通A股,5,2019-09-30
000002,香港中央结算有限公司,4.21亿,3.73%,流通A股,6,2019-09-30
000002,招商财富-招商银行-德赢1号专项资产管理计划,3.29亿,2.92%,流通A股,7,2019-09-30
000002,前海人寿保险股份有限公司-海利年年,3.23亿,2.86%,流通A股,8,2019-09-30
000002,中央汇金资产管理有限责任公司,1.90亿,1.68%,流通A股,9,2019-09-30
000004,深圳中农大科技投资有限公司,2387.68万,28.90%,流通A股,1,2019-09-30
000004,深圳丰盈传褀资产管理有限公司-丰盈传褀一期,117.53万,1.42%,流通A股,10,2019-09-30
000004,中科汇通(深圳)股权投资基金有限公司,539.76万,6.53%,流通A股,2,2019-09-30
000004,国华人寿保险股份有限公司-万能三号,420.89万,5.10%,流通A股,3,2019-09-30
000004,宁波津原投资有限公司,181.89万,2.20%,流通A股,7,2019-09-30
000005,中国投资有限公司,1.84亿,17.41%,流通A股,1,2019-09-30
000005,杭州钱江中小企业创业投资有限公司,433.10万,0.41%,流通A股,10,2019-09-30
000005,深圳市博睿意碳源科技有限公司,4794.53万,4.53%,流通A股,2,2019-09-30
000005,杭州环博投资有限公司,628.74万,0.59%,流通A股,6,2019-09-30
000005,上海勤幸投资管理中心(有限合伙),596.93万,0.56%,流通A股,7,2019-09-30
000005,杭州智耀投资合伙企业(有限合伙),471.60万,0.45%,流通A股,9,2019-09-30
000006,深圳市人民政府国有资产监督管理委员会,2.96亿,21.96%,流通A股,1,2019-09-30
000006,深圳市远致投资有限公司,1.90亿,14.09%,流通A股,2,2019-09-30
000006,中央汇金资产管理有限责任公司,4736.82万,3.51%,流通A股,3,2019-09-30
000006,中国证券金融股份有限公司,1459.84万,1.08%,流通A股,4,2019-09-30
000006,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,1027.62万,0.76%,流通A股,5,2019-09-30
000007,汉富控股有限公司,7500.01万,24.28%,流通A股,1,2019-09-30
000007,北京朴和恒丰投资有限公司,817.00万,2.64%,流通A股,4,2019-09-30
000007,南通伟易服饰有限公司,373.64万,1.21%,流通A股,6,2019-09-30
000008,中国国投高新产业投资有限公司,5.64亿,21.73%,流通A股,1,2019-09-30
000008,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,2100.99万,0.81%,流通A股,10,2019-09-30
000008,北京市海淀区国有资产投资经营有限公司,3.50亿,13.49%,流通A股,2,2019-09-30
000008,鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划,3530.32万,1.36%,流通A股,3,2019-09-30
