股票代码,公司名称,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000007,北京电子城有限责任公司,361.50万,1.17%,流通A股,7,2019-09-30
000012,中国银河国际证券(香港)有限公司,4154.44万,1.35%,流通B股,6,2019-09-30
000017,国信证券(香港)经纪有限公司,1390.94万,2.52%,流通B股,3,2019-09-30
000019,渤海证券股份有限公司,113.48万,0.24%,流通A股,8,2019-09-30
000020,长江证券经纪(香港)有限公司,535.52万,1.89%,流通B股,4,2019-09-30
000037,深圳广聚实业有限公司,7366.68万,12.22%,流通A股,2,2019-09-30
000065,中车长春轨道客车股份有限公司,353.87万,0.56%,流通A股,6,2019-09-30
000065,中车株洲电力机车有限公司,180.39万,0.29%,流通A股,8,2019-09-30
000090,深圳市国信弘盛股权投资基金(有限合伙),1504.39万,0.81%,流通A股,9,2019-09-30
000156,东方星空创业投资有限公司,4613.47万,3.60%,流通A股,3,2019-10-18
000401,冀东发展集团有限责任公司,4.04亿,30.01%,流通A股,1,2019-09-30
000420,上海方大投资管理有限责任公司,3.20亿,17.30%,流通A股,1,2019-09-30
000426,甘肃西北矿业集团有限公司,1.46亿,11.23%,流通A股,2,2019-09-30
000429,西藏赢悦投资管理有限公司,1.01亿,6.13%,流通A股,4,2019-09-30
000430,国机资本控股有限公司,1193.02万,3.60%,流通A股,5,2019-09-30
000513,深圳市海滨制药有限公司,1683.08万,1.84%,流通A股,4,2019-09-30
000520,人保投资控股有限公司,484.27万,0.48%,流通A股,9,2019-09-30
000521,长虹(香港)贸易有限公司,2707.78万,2.81%,流通B股,3,2019-09-30
000531,广州发展电力企业有限公司,1.26亿,18.35%,流通A股,2,2019-09-30
000531,广州港能源发展有限公司,1129.62万,1.65%,流通A股,5,2019-09-30
000532,力合科创集团有限公司,3157.13万,9.19%,流通A股,4,2019-09-30
000539,深圳广发电力投资有限公司,1.17亿,3.48%,流通A股,3,2019-09-30
000544,河南资产管理有限公司,4824.68万,4.95%,流通A股,2,2019-09-30
000552,白银有色(北京)国际投资有限公司,3814.00万,1.67%,流通A股,7,2019-09-30
000559,中国汽车工业投资开发有限公司,5545.38万,2.01%,流通A股,3,2019-09-30
000563,人保投资控股有限公司,2767.70万,0.70%,流通A股,5,2019-09-30
000582,中国华电集团财务有限公司,2059.78万,7.83%,流通A股,2,2019-09-30
000591,谦德咏仁新能源投资(苏州)有限公司,4537.05万,2.23%,流通A股,8,2019-09-30
000598,三峡资本控股有限责任公司,9612.49万,3.22%,流通A股,2,2019-09-30
000603,赤峰红烨投资有限公司,2129.88万,3.63%,流通A股,4,2019-09-30
000612,联储证券有限责任公司,3504.58万,2.95%,流通A股,6,2019-09-30
000613,海南雅安居物业服务有限公司,820.58万,2.32%,流通A股,4,2019-09-30
000630,浙江上峰建材有限公司,2159.60万,0.23%,流通A股,8,2019-09-30
000635,国电英力特能源化工集团股份有限公司,1.55亿,51.25%,流通A股,1,2019-09-30
000738,中国航发南方工业有限公司,1.99亿,17.39%,流通A股,2,2019-09-30
000759,重庆永辉超市有限公司,1.02亿,15.03%,流通A股,2,2019-09-30
000759,永辉物流有限公司,6701.65万,9.85%,流通A股,4,2019-09-30
000768,中航投资控股有限公司,1.60亿,5.78%,流通A股,3,2019-09-30
000783,三峡资本控股有限责任公司,3.33亿,6.02%,流通A股,3,2019-09-30
000789,浙江上峰建材有限公司,847.23万,1.06%,流通A股,4,2019-09-30
000829,北京国际信托有限公司,8630.00万,9.28%,流通A股,3,2019-09-30
000850,天津泰达股权投资基金管理有限公司,1630.00万,1.73%,流通A股,2,2019-09-30
000851,大唐高新创业投资有限公司,405.28万,0.47%,流通A股,8,2019-09-30
000856,冀东发展集团有限责任公司,6810.00万,30.00%,流通A股,1,2019-09-30
000862,中铝宁夏能源集团有限公司,7932.38万,15.82%,流通A股,1,2019-09-30
000883,长电资本控股有限责任公司,2.12亿,3.26%,流通A股,5,2019-09-30
000885,长江日昇投资有限公司,200.00万,0.40%,流通A股,7,2019-09-30
000889,深圳茂业百货有限公司,1243.61万,2.00%,流通A股,6,2019-09-30
000901,国机资本控股有限公司,979.05万,1.73%,流通A股,4,2019-09-30
000910,江苏费马投资管理有限公司,648.51万,1.20%,流通A股,8,2019-09-30
000927,一汽财务有限公司,296.04万,0.19%,流通A股,5,2019-12-05
000938,同方计算机有限公司,5566.07万,2.72%,流通A股,6,2019-09-30
000938,北京国研天成投资管理有限公司,5010.36万,2.45%,流通A股,7,2019-09-30
