股票代码,pid,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000004,59547,336.41万,4.07%,流通A股,4,2019-09-30
000004,59548,274.08万,3.32%,流通A股,5,2019-09-30
000004,59549,214.03万,2.59%,流通A股,6,2019-09-30
000004,59550,150.61万,1.82%,流通A股,8,2019-09-30
000004,59551,133.30万,1.61%,流通A股,9,2019-09-30
000005,59552,2095.95万,1.98%,流通A股,3,2019-09-30
000005,59553,1982.07万,1.87%,流通A股,4,2019-09-30
000005,59554,657.53万,0.62%,流通A股,5,2019-09-30
000005,59555,533.07万,0.50%,流通A股,8,2019-09-30
000006,59556,477.89万,0.35%,流通A股,10,2019-09-30
000006,59557,875.55万,0.65%,流通A股,6,2019-09-30
000006,59558,690.41万,0.51%,流通A股,7,2019-09-30
000006,59559,649.44万,0.48%,流通A股,8,2019-09-30
000006,59560,490.00万,0.36%,流通A股,9,2019-09-30
000007,69846,211.04万,0.68%,流通A股,10,2019-09-30
000007,59562,1349.39万,4.37%,流通A股,2,2019-09-30
000007,59563,977.22万,3.16%,流通A股,3,2019-09-30
000007,59564,505.24万,1.64%,流通A股,5,2019-09-30
000007,59565,243.62万,0.79%,流通A股,8,2019-09-30
000007,59561,220.44万,0.71%,流通A股,9,2019-09-30
000008,59566,3024.94万,1.17%,流通A股,7,2019-09-30
000008,59567,2300.01万,0.89%,流通A股,8,2019-09-30
000009,69847,915.75万,0.36%,流通A股,10,2019-09-30
000009,59569,1.28亿,5.02%,流通A股,3,2019-09-30
000009,59570,2107.72万,0.83%,流通A股,5,2019-09-30
000009,59571,1533.99万,0.60%,流通A股,8,2019-09-30
000009,59568,1022.26万,0.40%,流通A股,9,2019-09-30
000010,69848,1009.70万,1.93%,流通A股,10,2019-09-30
000010,59572,2331.11万,4.46%,流通A股,4,2019-09-30
000010,59573,2273.00万,4.35%,流通A股,5,2019-09-30
000011,69849,80.00万,0.13%,流通A股,10,2019-09-30
000011,69850,80.00万,0.13%,流通B股,11,2019-09-30
000011,59576,142.50万,0.24%,流通B股,2,2019-09-30
000011,59577,118.15万,0.20%,流通B股,3,2019-09-30
000011,59578,117.67万,0.20%,流通B股,4,2019-09-30
000011,59579,115.00万,0.19%,流通A股,5,2019-09-30
000011,59580,86.54万,0.15%,流通A股,7,2019-09-30
000011,59575,81.10万,0.14%,流通A股,9,2019-09-30
000014,59581,64.01万,0.32%,流通A股,10,2019-09-30
000014,59582,144.34万,0.72%,流通A股,2,2019-09-30
000014,59583,144.00万,0.71%,流通A股,3,2019-09-30
000014,59584,128.00万,0.63%,流通A股,4,2019-09-30
000014,59585,80.38万,0.40%,流通A股,6,2019-09-30
000014,59586,77.00万,0.38%,流通A股,7,2019-09-30
000014,59587,72.65万,0.36%,流通A股,8,2019-09-30
000016,59588,1665.68万,0.69%,流通A股,10,2019-09-30
000017,59589,389.11万,0.71%,流通B股,5,2019-09-30
000017,59590,318.74万,0.58%,流通B股,6,2019-09-30
000017,59591,248.67万,0.45%,流通B股,9,2019-09-30
000018,8984,1.46亿,11.58%,流通A股,1,2019-09-30
000018,59592,811.03万,0.64%,流通A股,10,2019-09-30
000018,59593,5480.05万,4.35%,流通A股,4,2019-09-30
000018,59594,1254.80万,1.00%,流通A股,8,2019-09-30
000018,59595,1009.05万,0.80%,流通A股,9,2019-09-30
000019,59596,108.01万,0.23%,流通A股,10,2019-09-30
000019,59597,343.65万,0.73%,流通B股,3,2019-09-30
000019,59598,290.00万,0.62%,流通A股,4,2019-09-30
000019,59599,220.00万,0.47%,流通A股,5,2019-09-30
000019,59600,131.22万,0.28%,流通A股,7,2019-09-30
000019,59601,109.72万,0.23%,流通A股,9,2019-09-30
000020,59602,86.42万,0.31%,流通B股,10,2019-09-30
000020,25212,283.00万,1.00%,流通B股,6,2019-09-30
000020,59603,98.94万,0.35%,流通B股,8,2019-09-30
000020,59604,92.48万,0.33%,流通A股,9,2019-09-30
000021,59605,1588.26万,1.08%,流通A股,3,2019-09-30
000021,59606,568.00万,0.39%,流通A股,8,2019-09-30
000021,59607,500.78万,0.34%,流通A股,9,2019-09-30
000023,59608,76.39万,0.55%,流通A股,10,2019-09-30
000023,59609,158.18万,1.14%,流通A股,5,2019-09-30
000023,59610,113.32万,0.82%,流通A股,6,2019-09-30
000023,59611,109.00万,0.79%,流通A股,7,2019-09-30
000023,59612,86.60万,0.62%,流通A股,8,2019-09-30
000023,59613,86.00万,0.62%,流通A股,9,2019-09-30
000025,59614,38.86万,0.09%,流通B股,10,2019-09-30
000025,59615,55.15万,0.13%,流通A股,5,2019-09-30
000025,59616,48.72万,0.11%,流通B股,7,2019-09-30
000025,59617,46.36万,0.11%,流通A股,8,2019-09-30
000025,59618,44.41万,0.10%,流通B股,9,2019-09-30
000026,59619,1801.35万,4.11%,流通A股,2,2019-09-30
000026,59620,469.60万,1.07%,流通A股,3,2019-09-30
000026,59621,133.33万,0.30%,流通A股,7,2019-09-30
000026,59622,115.00万,0.26%,流通A股,9,2019-09-30
000027,59623,1641.44万,0.41%,流通A股,7,2019-09-30
000030,59624,935.51万,0.52%,流通A股,7,2019-09-30
000031,69851,680.38万,0.38%,流通A股,10,2019-09-30
000032,59625,874.20万,2.13%,流通A股,4,2019-09-30
000032,59626,246.33万,0.60%,流通A股,9,2019-09-30
000034,29221,3869.45万,7.97%,流通A股,2,2019-09-30
000034,17387,1615.08万,3.33%,流通A股,5,2019-09-30
000034,59628,1605.78万,3.31%,流通A股,6,2019-09-30
000034,59629,741.45万,1.53%,流通A股,9,2019-09-30
000035,9387,2347.53万,1.83%,流通A股,5,2019-09-30
000036,59630,557.75万,0.38%,流通A股,10,2019-09-30
000036,59631,998.69万,0.68%,流通A股,3,2019-09-30
000036,59632,808.02万,0.55%,流通A股,5,2019-09-30
000036,59633,591.36万,0.40%,流通A股,8,2019-09-30
000037,59634,892.19万,1.48%,"流通A股,流通B股",6,2019-09-30
000037,59635,760.24万,1.26%,流通B股,8,2019-09-30
000038,69852,171.66万,0.75%,流通A股,10,2019-09-30
000038,59640,1577.25万,6.88%,流通A股,2,2019-09-30
000038,59639,517.62万,2.26%,流通A股,4,2019-09-30
000038,69853,466.88万,2.04%,流通A股,5,2019-09-30
000038,69854,273.98万,1.20%,流通A股,7,2019-09-30
000038,59637,243.79万,1.06%,流通A股,8,2019-09-30
000038,69855,196.00万,0.86%,流通A股,9,2019-09-30
000043,69856,458.07万,0.69%,流通A股,10,2019-09-30
000045,59642,114.67万,0.23%,流通A股,10,2019-09-30
000045,59643,489.96万,0.97%,流通A股,3,2019-09-30
000045,59644,322.48万,0.64%,流通B股,4,2019-09-30
000045,59645,287.31万,0.57%,流通A股,5,2019-09-30
000045,59646,159.65万,0.32%,流通A股,6,2019-09-30
000045,59647,143.90万,0.28%,流通A股,7,2019-09-30
000045,59648,138.85万,0.27%,流通A股,8,2019-09-30
000045,59649,133.89万,0.26%,流通A股,9,2019-09-30
000046,59650,1.14亿,2.21%,流通A股,4,2019-09-30
000046,59651,4413.95万,0.85%,流通A股,8,2019-09-30
000048,69857,229.01万,0.59%,流通A股,10,2019-09-30
000048,69858,964.42万,2.47%,流通A股,3,2019-09-30
000048,69859,879.64万,2.25%,流通A股,4,2019-09-30
000048,69860,734.14万,1.88%,流通A股,5,2019-09-30
000048,69861,708.69万,1.81%,流通A股,6,2019-09-30
000048,69862,334.78万,0.86%,流通A股,8,2019-09-30
000049,59652,107.50万,0.52%,流通A股,10,2019-09-30
000049,59653,158.92万,0.77%,流通A股,7,2019-09-30
000049,59654,110.01万,0.54%,流通A股,9,2019-09-30
000050,69863,1657.86万,0.91%,流通A股,10,2019-09-30
000055,59655,3407.17万,3.04%,流通A股,3,2019-09-30
000055,59656,423.70万,0.38%,流通A股,8,2019-09-30
000056,69864,997.02万,0.87%,流通A股,10,2019-09-30
000056,69865,2157.69万,1.88%,流通B股,5,2019-09-30
000056,69866,1994.02万,1.74%,流通A股,6,2019-09-30
000058,59657,715.58万,0.91%,流通B股,2,2019-09-30
000058,59658,331.81万,0.42%,流通B股,3,2019-09-30
000058,59659,294.00万,0.37%,流通B股,4,2019-09-30
000058,59660,178.00万,0.23%,流通B股,8,2019-09-30
000058,59661,138.95万,0.18%,流通A股,9,2019-09-30
