股票代码,股东股票代码2,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
000018,000036,8793.59万,5.18%,无质押,流通A股,3,2019-09-30
000019,000061,9483.23万,8.23%,-,"受限流通股,流通A股",2,2019-09-30
000027,600011,9.92亿,25.02%,-,流通A股,2,2019-09-30
000027,000539,1260.00万,0.32%,-,流通A股,9,2019-09-30
000030,002048,2.53亿,13.95%,-,流通A股,3,2019-09-30
000043,001979,5.03亿,47.45%,-,"受限流通股,流通A股",1,2019-12-04
000060,000878,3289.47万,0.92%,无质押,流通A股,6,2019-09-30
000068,000058,1.61亿,16.01%,无质押,流通A股,2,2019-09-30
000401,601992,9432.65万,7.00%,无质押,流通A股,2,2019-09-30
000404,600839,2.13亿,30.60%,-,流通A股,1,2019-09-30
000421,600611,609.42万,1.06%,-,流通A股,4,2019-09-30
000429,000776,3036.44万,1.45%,-,流通A股,6,2019-09-30
000509,601881,1650.96万,2.00%,无质押,流通A股,3,2019-09-30
000513,600380,2.21亿,23.68%,无质押,流通A股,2,2019-09-30
000520,600016,2941.14万,2.91%,-,流通A股,4,2019-09-30
000521,600839,2.48亿,23.79%,-,"流通A股,受限流通股",1,2019-09-30
000554,600028,1.18亿,24.57%,-,受限流通股,1,2019-09-30
000555,601881,1866.00万,1.94%,无质押,流通A股,5,2019-09-30
000557,600027,7108.45万,4.87%,-,受限流通股,5,2019-09-30
000572,000009,6330.00万,3.85%,-,流通A股,4,2019-09-30
000586,601869,539.23万,2.79%,无质押,流通A股,5,2019-09-30
000587,300090,1.10亿,5.17%,无质押,"受限流通股,流通A股",4,2019-09-30
000593,000027,154.00万,0.43%,无质押,流通A股,7,2019-09-30
000601,000027,1662.98万,1.54%,无质押,流通A股,5,2019-09-30
000613,000735,6388.60万,17.55%,70.00%,流通A股,1,2019-09-30
000617,600271,1.76亿,1.95%,-,受限流通股,6,2019-09-30
000620,000576,1483.81万,0.78%,无质押,流通A股,10,2019-09-30
000623,000776,4342.79万,3.73%,无质押,流通A股,3,2019-09-30
000628,601857,120.00万,0.39%,-,受限流通股,8,2019-09-30
000633,002500,145.19万,0.38%,-,流通A股,7,2019-09-30
000636,600837,700.00万,0.78%,无质押,流通A股,8,2019-09-30
000665,000839,7627.89万,7.92%,100.00%,流通A股,4,2019-09-30
000670,600958,6900.00万,8.45%,-,受限流通股,2,2019-10-29
000672,600070,4700.00万,5.78%,21.28%,流通A股,4,2019-09-30
000686,600881,7.21亿,30.81%,87.24%,流通A股,1,2019-09-30
000692,300024,369.00万,0.69%,无质押,流通A股,3,2019-09-30
000702,000688,355.74万,1.33%,-,流通A股,6,2019-09-30
000715,300024,1788.00万,4.30%,无质押,流通A股,6,2019-09-30
000728,000543,1.44亿,4.28%,无质押,流通A股,5,2019-09-30
000728,600063,9116.31万,2.71%,无质押,流通A股,8,2019-09-30
000728,000429,7960.20万,2.37%,无质押,受限流通股,9,2019-09-30
000750,600310,1.58亿,3.76%,-,流通A股,4,2019-09-30
000750,600252,1.21亿,2.86%,-,流通A股,5,2019-09-30
000753,300070,3577.82万,3.61%,-,受限流通股,3,2019-09-30
000759,601933,3405.11万,5.00%,无质押,流通A股,6,2019-09-30
000776,000623,12.52亿,16.43%,无质押,流通A股,2,2019-09-30
000776,600739,12.50亿,16.40%,无质押,流通A股,3,2019-09-30
000776,000685,6.87亿,9.01%,无质押,流通A股,4,2019-09-30
000779,600272,623.79万,1.64%,无质押,流通A股,5,2019-09-30
000783,600068,1.36亿,2.46%,无质押,流通A股,10,2019-09-30
000783,000883,5.07亿,9.17%,无质押,流通A股,2,2019-09-30
000783,600851,2.48亿,4.49%,无质押,流通A股,4,2019-09-30
000791,601881,390.00万,0.29%,-,流通A股,5,2019-09-30
000797,000732,2196.58万,1.40%,100.00%,流通A股,4,2019-09-30
000799,601198,250.28万,0.77%,-,流通A股,6,2019-09-30
000820,002500,3187.45万,5.00%,无质押,受限流通股,2,2019-09-30
000839,601066,2006.01万,0.51%,无质押,流通A股,4,2019-09-30
000868,600418,1.85亿,25.20%,-,"受限流通股,流通A股",1,2019-09-30
000875,600369,4295.07万,2.00%,-,流通A股,3,2019-09-30
000878,600025,3208.56万,1.89%,无质押,受限流通股,6,2019-09-30
000883,600900,16.50亿,25.35%,无质押,流通A股,2,2019-09-30
000899,600886,3.29亿,33.72%,无质押,流通A股,2,2019-09-30
000900,001965,1.07亿,7.04%,-,流通A股,2,2019-09-30
000910,600999,649.58万,1.17%,无质押,流通A股,7,2019-09-30
000925,600797,5731.71万,10.43%,52.34%,流通A股,1,2019-09-30
000950,600828,7332.75万,4.24%,无质押,"受限流通股,流通A股",4,2019-09-30
000950,600196,3549.77万,2.05%,无质押,"受限流通股,流通A股",7,2019-09-30
000950,600332,2599.23万,1.50%,无质押,"受限流通股,流通A股",8,2019-09-30
000966,000883,1.20亿,10.80%,-,流通A股,2,2019-09-30
000967,000157,3.99亿,12.62%,无质押,受限流通股,2,2019-09-30
000970,600051,1713.00万,1.61%,-,流通A股,4,2019-09-30
000987,000531,3.22亿,11.69%,-,受限流通股,3,2019-10-22
001979,000069,6355.93万,0.80%,无质押,流通A股,10,2019-09-30
