股票代码,公司名称,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
000001,中国平安保险(集团)股份有限公司-集团本级-自有资金,96.19亿,49.56%,-,流通A股,1,2019-09-30
000001,全国社保基金一零四组合,5846.94万,0.30%,-,流通A股,10,2019-09-30
000001,香港中央结算有限公司,14.22亿,7.33%,-,流通A股,2,2019-09-30
000001,中国平安人寿保险股份有限公司-自有资金,11.86亿,6.11%,-,流通A股,3,2019-09-30
000001,中国平安人寿保险股份有限公司-传统-普通保险产品,4.40亿,2.27%,-,流通A股,4,2019-09-30
000001,中国证券金融股份有限公司,4.29亿,2.21%,-,流通A股,5,2019-09-30
000001,中央汇金资产管理有限责任公司,2.16亿,1.11%,-,流通A股,6,2019-09-30
000001,深圳中电投资股份有限公司,1.61亿,0.83%,-,流通A股,7,2019-09-30
000001,河南鸿宝企业管理有限公司,1.03亿,0.53%,-,流通A股,8,2019-09-30
000001,交通银行-易方达50指数证券投资基金,6214.36万,0.32%,-,流通A股,9,2019-09-30
000002,深圳市地铁集团有限公司,32.43亿,28.69%,-,流通A股,1,2019-11-22
000002,HKSCC NOMINEES LIMITED,15.78亿,13.96%,-,流通H股,2,2019-11-22
000002,深圳市钜盛华股份有限公司,6.80亿,6.02%,-,流通A股,3,2019-11-22
000004,深圳中农大科技投资有限公司,2387.68万,28.43%,63.73%,流通A股,1,2019-09-30
000004,中科汇通(深圳)股权投资基金有限公司,539.76万,6.43%,100.00%,流通A股,2,2019-09-30
000004,国华人寿保险股份有限公司-万能三号,420.89万,5.01%,无质押,流通A股,3,2019-09-30
000004,宁波津原投资有限公司,181.89万,2.17%,无质押,流通A股,7,2019-09-30
000005,中国投资有限公司,1.84亿,17.41%,99.87%,流通A股,1,2019-09-30
000005,杭州钱江中小企业创业投资有限公司,433.10万,0.41%,无质押,流通A股,10,2019-09-30
000005,深圳市博睿意碳源科技有限公司,4794.53万,4.53%,99.95%,流通A股,2,2019-09-30
000005,杭州环博投资有限公司,628.74万,0.59%,无质押,流通A股,6,2019-09-30
000005,上海勤幸投资管理中心(有限合伙),596.93万,0.56%,无质押,流通A股,7,2019-09-30
000005,杭州智耀投资合伙企业(有限合伙),471.60万,0.45%,无质押,流通A股,9,2019-09-30
