股票代码,公司名称,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
000007,北京电子城有限责任公司,361.50万,1.04%,无质押,流通A股,8,2019-09-30
000012,中国银河国际证券(香港)有限公司,4154.44万,1.34%,无质押,流通B股,6,2019-09-30
000017,国信证券(香港)经纪有限公司,1390.94万,2.52%,-,流通B股,3,2019-09-30
000019,渤海证券股份有限公司,113.48万,0.10%,-,流通A股,8,2019-09-30
000020,长江证券经纪(香港)有限公司,535.52万,1.89%,无质押,流通B股,4,2019-09-30
000037,深圳广聚实业有限公司,7366.68万,12.22%,-,流通A股,2,2019-09-30
000043,深圳招商房地产有限公司,3933.85万,3.71%,-,受限流通股,4,2019-12-04
000065,中车株洲电力机车有限公司,180.39万,0.23%,-,流通A股,10,2019-09-30
000065,中车长春轨道客车股份有限公司,353.87万,0.46%,-,流通A股,8,2019-09-30
000090,深圳市国信弘盛股权投资基金(有限合伙),1504.39万,0.81%,-,流通A股,9,2019-09-30
000156,东方星空创业投资有限公司,4613.47万,3.22%,无质押,流通A股,3,2019-10-18
000401,冀东发展集团有限责任公司,4.04亿,30.00%,5.32%,流通A股,1,2019-09-30
000420,上海方大投资管理有限责任公司,3.20亿,16.25%,无质押,流通A股,1,2019-09-30
000425,湖州盈灿投资合伙企业(有限合伙),3.68亿,4.70%,100.00%,受限流通股,3,2019-09-30
000426,甘肃西北矿业集团有限公司,1.46亿,7.94%,100.00%,流通A股,2,2019-09-30
000429,西藏赢悦投资管理有限公司,1.01亿,4.84%,-,流通A股,4,2019-09-30
000430,国机资本控股有限公司,1193.02万,2.95%,无质押,流通A股,5,2019-09-30
000513,深圳市海滨制药有限公司,1683.08万,1.80%,无质押,流通A股,5,2019-09-30
000520,人保投资控股有限公司,484.27万,0.48%,-,流通A股,9,2019-09-30
000521,长虹(香港)贸易有限公司,2707.78万,2.59%,-,流通B股,3,2019-09-30
000524,广州证券股份有限公司,2256.32万,3.37%,-,受限流通股,4,2019-09-30
000531,广州发展电力企业有限公司,1.26亿,18.35%,-,流通A股,2,2019-09-30
000531,广州港能源发展有限公司,1129.62万,1.65%,-,流通A股,5,2019-09-30
000532,力合科创集团有限公司,3157.49万,9.16%,无质押,"受限流通股,流通A股",4,2019-09-30
000539,深圳广发电力投资有限公司,1.17亿,2.22%,-,流通A股,3,2019-09-30
000544,河南资产管理有限公司,4824.68万,4.95%,无质押,流通A股,2,2019-09-30
000552,白银有色(北京)国际投资有限公司,3814.00万,1.67%,-,流通A股,7,2019-09-30
000559,中国汽车工业投资开发有限公司,5545.38万,2.01%,-,流通A股,3,2019-09-30
000582,广西广投资产管理有限公司,7590.36万,4.64%,-,受限流通股,4,2019-09-30
000582,中国华电集团财务有限公司,2059.78万,1.26%,-,流通A股,8,2019-09-30
000591,谦德咏仁新能源投资(苏州)有限公司,4537.05万,1.51%,-,流通A股,10,2019-09-30
000598,三峡资本控股有限责任公司,9612.49万,3.22%,-,流通A股,2,2019-09-30
000612,联储证券有限责任公司,3504.58万,2.94%,无质押,流通A股,6,2019-09-30
000613,海南雅安居物业服务有限公司,820.58万,2.25%,无质押,流通A股,4,2019-09-30
000630,中国铁建投资集团有限公司,1.81亿,1.71%,-,受限流通股,4,2019-09-30
000635,国电英力特能源化工集团股份有限公司,1.55亿,51.25%,-,流通A股,1,2019-09-30
000738,中国航发南方工业有限公司,1.99亿,17.39%,-,流通A股,2,2019-10-29
000759,重庆永辉超市有限公司,1.02亿,15.02%,无质押,流通A股,2,2019-09-30
000759,永辉物流有限公司,6701.65万,9.84%,无质押,流通A股,4,2019-09-30
000768,中航投资控股有限公司,1.60亿,5.78%,43.71%,流通A股,3,2019-09-30
000783,三峡资本控股有限责任公司,3.33亿,6.02%,无质押,流通A股,3,2019-09-30
