股东股票代码2,股票代码,持有数量,持有价值,占流通股比例,日期
601318,000001,96.19亿,1499.53亿,49.57%,2019-09-30
000036,000018,8793.59万,8353.91万,8.83%,2019-09-30
000061,000019,7944.75万,4.85亿,19.10%,2019-09-30
600011,000027,9.92亿,57.32亿,25.02%,2019-09-30
000539,000027,1260.00万,7282.80万,0.32%,2019-09-30
002048,000030,2.53亿,11.85亿,14.35%,2019-09-30
001979,000043,1.49亿,25.36亿,22.36%,2019-09-30
000878,000060,3289.47万,1.33亿,0.92%,2019-09-30
601628,000063,3047.32万,9.75亿,0.88%,2019-09-30
000058,000068,1.61亿,6.54亿,16.01%,2019-09-30
601628,000166,2.49亿,11.89亿,1.10%,2019-09-30
601992,000401,9432.65万,14.46亿,7.00%,2019-09-30
600839,000404,2.13亿,8.24亿,30.66%,2019-09-30
600611,000421,609.42万,2626.61万,1.06%,2019-09-30
601628,000429,5080.90万,3.92亿,3.90%,2019-09-30
000776,000429,3036.44万,2.34亿,2.33%,2019-09-30
601881,000509,1650.96万,4061.36万,2.00%,2019-09-30
600380,000513,2.21亿,58.75亿,37.17%,2019-09-30
600016,000520,2941.14万,1.21亿,2.91%,2019-09-30
600839,000521,1.79亿,5.79亿,22.26%,2019-09-30
601881,000555,1866.00万,2.34亿,2.00%,2019-09-30
601628,000568,1527.74万,13.02亿,1.05%,2019-09-30
601628,000581,2371.54万,3.88亿,2.84%,2019-09-30
601336,000581,569.06万,9321.18万,0.68%,2019-09-30
601869,000586,539.23万,6411.47万,2.79%,2019-09-30
300090,000587,3374.55万,6985.32万,2.78%,2019-09-30
000027,000593,154.00万,950.18万,0.43%,2019-09-30
000027,000601,1662.97万,9861.44万,1.54%,2019-09-30
601628,000615,948.93万,4953.41万,1.47%,2019-09-30
601336,000617,429.08万,5307.71万,1.49%,2019-09-30
000576,000620,1483.81万,6751.31万,0.78%,2019-09-30
000776,000623,4342.79万,6.69亿,3.80%,2019-09-30
600837,000636,700.00万,1.00亿,0.78%,2019-09-30
601099,000662,4027.90万,1.76亿,3.69%,2019-09-30
000839,000665,7627.89万,4.18亿,7.92%,2019-09-30
600070,000672,4700.00万,6.31亿,5.78%,2019-09-30
601099,000673,1580.00万,4582.00万,2.00%,2019-09-30
600881,000686,7.21亿,58.63亿,30.81%,2019-09-30
300024,000692,369.00万,1059.03万,0.69%,2019-09-30
000688,000702,355.74万,2194.92万,1.33%,2019-09-30
300024,000715,1788.00万,1.27亿,4.31%,2019-09-30
600063,000728,9116.31万,7.79亿,3.09%,2019-09-30
000543,000728,1.44亿,12.30亿,4.89%,2019-09-30
601939,000738,1066.86万,1.45亿,0.93%,2019-09-30
600310,000750,1.58亿,7.83亿,3.76%,2019-09-30
600252,000750,1.21亿,5.97亿,2.86%,2019-09-30
601933,000759,3405.11万,2.51亿,5.00%,2019-09-30
000685,000776,6.87亿,93.19亿,11.60%,2019-09-30
000623,000776,12.52亿,169.94亿,21.16%,2019-09-30
600739,000776,12.50亿,169.65亿,21.12%,2019-09-30
600272,000779,623.79万,7217.19万,3.35%,2019-09-30
600851,000783,2.48亿,17.37亿,4.49%,2019-09-30
