股票代码,主营业务
000002,房地产开发和物业服务
000001,经有关监管机构批准的各项商业银行业务
000005,绿色低碳城市社区建设相关的服务业务
000004,生物制药
000007,物业管理和房屋租赁业等
000006,从事房地产开发与销售
000009,新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业
000008,专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案
000010,从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。
000011,从事房地产开发经营
000011,兼营物业管理、房屋租赁、出租车客运、餐饮服务等
000012,"平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售"
000014,房地产开发和销售
000017,电动自行车、自行车及零配件的生产和销售以及物业管理。
000019,茶及天然植物精深加工为主的食品原料(配料)生产研发和销售业务;粮油储备粮油贸易粮油加工等粮油流通及粮油储备服务业
000018,建筑装饰工程设计与施工及建筑相关工程施工
000020,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。
000023,混凝土的生产和销售、房地产的开发与销售
000021,计算机硬件、通讯设备等。
000025,汽车销售、汽车检测维修及配件销售、物业租赁及服务
000026,主要从事钟表及其零配件的设计、开发、制造、销售和维修业务
000026,"包括""飞亚达""表的产品经营和世界名表的商业连锁销售"
000027,"各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等"
000030,汽车零部件的生产与销售
000032,电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。
000031,房地产开发、经营、销售、出租及管理住宅、商用物业、工业物业
000034,"云管理服务及数字化方案提供商,IT领域分销和增值服务商"
000036,房地产开发及自有物业租赁管理业务
000035,以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目
000035,研发、生产、销售垃圾焚烧发电及环保成套设备
000037,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务
000039,主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务
000042,房地产开发、物业租赁经营、酒店经营、建筑施工。
000045,"以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。"
000043,物业资产管理业务
000046,金融、房地产、战略投资等业务
000048,交通运输、自来水供应
000048,房地产开发、物业管理
000048,肉猪、肉鸡养殖
000048,饲料生产销售
000049,生产制造电源管理系统及各类锂电池
000050,从事液晶显示器及相关材料、设备、产品的设计、制造、销售
000056,商业不动产运营管理业务、资产管理业务以及各配套服务业务
000055,生产和经营新型建筑材料。
000058,电子专业市场及配套项目的开发及经营、物业租赁服务业务、IT产品渠道零售终端业务、电子商务和小额贷款增值业务。
000059,石油化工产品、化学肥料的生产与销售。
000061,农产品批发市场的开发、建设、经营和管理
000061,大宗农产品电子交易和蔬菜种植等。
000060,有色金属矿产品、冶炼产品、深加工产品、综合利用产品及电池材料、铝型材、幕墙工程、出租车营运、房地产开发等
000062,面向电子信息产业链的现代高端服务业
000062,为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、交易信息服务和创新创业配套服务
000062,打造面向电子信息产业的国内一流交易服务和创新创业服务双平台。
000065,国际工程承包、国内建筑工程、重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能
000063,设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端
000068,节能环保和新材料
000066,计算机及相关设备制造
000066,高新电子业务
000066,涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。
000069,主题公园、酒店服务、房地产开发、纸包装等
000070,光纤、光缆、通信设备的生产和销售
000078,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售
000088,"港口投资开发和经营；货物装卸与运输业务,码头建设工程管理,收费高速公路运营管理,出口货物监管仓和其他港口配套仓储物流经营。"
000089,航空客货运输地面服务、郊区公路客货运输、航空客货物流代理业务等劳务。
000096,从事油品、液化石油气销售、液体化工品仓储及电力投资
000099,通用航空飞行服务和维修服务
000100,以半导体显示技术及材料业务为主
000100,产业金融和投资业务为辅
000150,健康医疗服务
000151,成套设备与技术进出口、一般贸易和境外经营。
000153,生物药、中药、化学合成药及其制剂等方面的研究、开发、生产和销售。
000155,从事合成氨、尿素、三聚氰胺、硝酸铵、氮磷复合肥、硫酸、硝酸、硫酸钾、过氧化氢、液体二氧化碳、催化剂等化肥、化工产品的生产和销售
000155,风力发电、光伏发电
000156,杭州地区有线电视网络运营和面向全国的互动电视、手机电视、互联网电视、互联网视频、广告等传媒信息服务业
000157,混凝土机械、起重机械、路面机械、环卫机械等产品及配套件的开发、生产、销售和租赁。
000090,提供商品住宅的开发及销售、工程施工劳务、物业租赁服务、物业管理服务、商业运营及服务。
000158,软件及信息服务
000166,金融投资、股权投资等
000159,油品批发、零售、仓储、运输；能源贸易；房地产开发与销售。
000301,以民用涤纶长丝的研发、生产和销售为核心
000301,以热电等业务为补充。
000333,以家电产业为主
000333,涉足电机、物流等领域
000333,旗下分为四大业务板块
000333,分别为大家电、小家电、电机及物流
000400,从事电力系统二次设备和一次设备的研制、销售
000338,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
000401,生产和销售水泥、熟料以及石灰石开采和销售
000402,房地产开发和经营
000403,生产和销售血液制品
000404,冰箱压缩机及商用压缩机的研发、生产和销售
000407,天然气、生物、农化、塑胶等产业组成
000408,钾肥(氯化钾)的生产和销售。
000409,矿石的开采、加工及矿产品销售
000410,金属切削机床制造
000411,主要从事药品及医疗器械批发业务
000416,典当、财富管理及保险经纪
000415,融资租赁和经营性租赁
000417,百货零售业、农产品交易市场两大类业务
000419,商业零售业、典当业及旅游酒店业
000420,从事粘胶纤维的生产、研发和销售
000421,客运业务、燃气业务及房地产业务
000422,化肥产品(尿素、磷酸二铵等)、化工产品(聚氯乙烯、烧碱等)的生产、销售。
000425,主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。
000423,从事阿胶及阿胶系列产品的研发、生产和销售业务
000426,有色金属采选及冶炼
000428,住宿、餐饮。
000429,广佛高速公路和佛开高速公路的收费和养护工作
000429,投资科技产业及提供相关咨询
000430,旅游项目经营；旅游客运；旅行社经营；其他：酒店经营、房屋租赁、广告代理等
000488,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售
000498,路桥工程施工与养护施工
000501,商业零售及批发业务
000502,从事房地产开发及物业管理业务
000503,医药电子商务、医疗福利管理等
000504,生物医药、节能环保
000505,植物油加工及食品制造。
000506,矿业投资与房地产开发
