股票代码,产品名称
000002,房地产
000002,物业管理
000002,投资咨询
000001,吸收公众存款
000001,发放短期
000001,中期和长期贷款
000001,办理国内外结算
000001,办理票据承兑与贴现
000001,发行金融债券
000001,代理发行
000001,代理兑付
000001,承销政府债券
000001,买卖政府债券
000001,金融债券
000001,从事同业拆借
000001,买卖
000001,代理买卖外汇
000001,从事银行卡业务
000001,提供信用证服务及担保
000001,代理收付款项及代理保险业务
000001,提供保管箱服务
000001,结汇
000001,售汇业务
000001,离岸银行业务
000001,资产托管业务
000001,办理黄金业务
000001,财务顾问
000001,资信调查
000001,咨询
000001,见证业务
000005,酒店经营
000005,物业管理
000005,环保业务
000004,注射用复方二氯醋酸二异丙胺
000004,注射用环磷腺苷葡胺
000004,注射用三磷酸胞苷二钠
000004,注射用氢氟酸高乌甲素
000004,注射用门冬氨酸钾镁
000004,创世神曲
000007,物业管理及停车费
000007,房屋租赁
000006,房产租赁
000006,房产销售
000009,高新技术产业
000009,生物医药
000009,房地产
000008,机车车辆运营维护系列
000008,供电系统运营维护系列
000008,轨道交通信号系统
000008,工务维护系列
000008,站段调度系列
000008,酒店服务
000010,燃气销售服务
000010,园林建设
000010,园林设计
000010,苗木销售
000011,房地产开发
000011,房屋租赁
000011,物业管理
000011,交通运输
000011,饮食服务
000012,平板玻璃
000012,工程玻璃
000012,太阳能产品
000012,电子玻璃及显示器件业务
000014,房地产销售
000014,物业管理
000014,代建
000014,综合服务
000017,自行车及零配件销售
000017,锂电池材料
000019,软饮料
000019,调味品
000019,茶制品
000019,商品房
000019,物业租赁
000018,装饰工程施工
000018,工程总承包
000018,工程设计
000020,显示器
000020,注塑件
000020,泡沫件
000023,房地产
000023,商品混凝土
000023,物业管理
000023,租赁
000021,硬盘相关产品
000021,自有产品
000021,OEM产品
000025,汽车销售
000025,汽车维修及检测
000025,珠宝批发及零售
000025,物业租赁及服务
000026,手表零售服务业务
000026,手表品牌业务
000026,精密制造业务
000026,租赁业务
000027,电力
000027,燃气
000027,蒸汽
000027,运输
000030,底盘系统
000030,环境系统
000030,制动和传动系统
000030,转向及安全系统
000030,电子电器系统
000030,发动机附件系统
000032,模块电源
000032,商业智能终端设备套件
000032,LED照明产品及配件
000032,铁路通讯设备
000032,商品房销售
000032,商品贸易
000032,物业租赁及水电管理费
000032,供应链一体化
000032,物流输运
000032,仓储装卸
000032,智慧城市系统工程
000031,商品房销售
000031,房屋租赁
000031,物业管理
000034,消费电子业务
000034,企业增值业务
000034,自主品牌
000034,云服务
000036,房产销售
000036,房地产出租
000036,酒店收入
000035,垃圾焚烧发电
000035,环保工程设备
000035,房屋租赁
000035,城市环境服务
000037,电力销售
000037,工程劳务
000037,污泥干化
000039,集装箱
000039,道路运输车辆
000039,能源
000039,化工
000039,液态食品装备
000039,海洋工程
000039,空港装备
000039,物流服务
000039,金融
000039,房地产
000039,重卡
000042,房地产
000042,服务
000042,酒店
000042,施工
000045,物业及租赁
000045,纺织品
000045,偏光片
000045,贸易
000043,建筑业
000043,房地产
000043,物业
000043,餐饮等服务
000046,房地产销售
000046,物业出租
000046,物业管理
000046,装修工程
000046,金融投资
000048,全价饲料
000048,浓缩料
000048,预混饲料
000048,自来水
000048,出租车客运服务
000048,禽业产品
000048,猪业产品
000048,房屋及土地租赁
000048,物业管理
000048,商品房
000048,成品鱼
000048,金融
000048,装修
000048,商业贸易
000049,移动电源管理系统组件及锂电池封装业务
000050,显示屏
000050,显示模组
000056,商业运营服务
000056,金融服务
000056,融资租赁服务
000056,其他
000055,幕墙系统及材料
000055,地铁屏蔽门及服务
000055,光伏发电及LED产品
000055,房产销售
000058,电子市场经营及物业出租服务
000058,贸易业
000058,酒店业
000058,电子商务业务
000058,金融业
000059,柴油
000059,聚乙烯
000059,聚丙烯
000059,聚苯乙烯
000059,ABS
000059,船用燃料油
000059,工业硫磺
000059,石油甲苯
000059,石油混合二甲苯
000059,尿素
000059,甲醇
000059,液氨
000061,农产品批发市场经营
000061,农产品加工生产
000061,市场配套服务
000060,精矿产品
000060,冶炼产品
000060,铝型材
000060,幕墙门窗
000060,电池材料
000060,商品房销售
000060,有色金属贸易业务
000062,电子元器件线下分销分部
000062,电子元器件线上交易平台分部
000062,电子元器件及终端产品线下交易平台分部
000062,终端产品线上分销分部
000065,国际工程承包
000065,国内建筑工程
000065,房地产销售
000065,货物贸易
000065,货运代理
000065,金属包装容器
000063,ICT
000063,ICT解决方案
000068,环保设备及材料
000068,技术咨询规划服务
000068,电子元器件
000068,仓租服务业
000066,高新电子
000066,信息安全整机及解决方案
000066,电源产品
000066,园区及物业服务
000069,旅游综合业务
000069,房地产
000069,高档胶版纸
000069,白卡纸
000069,铜版纸
000069,轻涂纸
000069,生活纸
000069,静电复印纸
000069,热敏纸
