股票代码,产品类型
000002,房地产
000002,物业管理
000002,投资咨询
000001,商业银行业务
000005,酒店经营
000005,物业管理
000005,环保业务
000004,生物医药业务
000004,游戏
000007,物业管理及停车费
000007,房屋租赁
000006,房产租赁
000006,房产销售
000009,高新技术产业
000009,生物医药
000009,房地产
000008,轨道交通
000008,酒店服务
000010,燃气销售服务
000010,园林建设
000010,园林设计
000010,苗木销售
000011,房地产开发
000011,房屋租赁
000011,物业管理
000011,交通运输
000011,饮食服务
000012,玻璃
000012,太阳能产品
000014,房地产销售
000014,物业管理
000014,代建
000014,综合服务
000017,自行车及零配件销售
000017,锂电池材料
000019,工业
000019,贸易
000019,房地产
000019,租赁服务业
000018,装饰工程施工
000018,工程总承包
000018,工程设计
000020,显示器
000020,注塑件
000020,泡沫件
000023,房地产
000023,工业
000023,租赁
000021,硬盘相关产品
000021,自有产品
000021,OEM产品
000025,能源
000025,材料和机械电子设备批发
000026,手表业务
000026,精密制造业务
000026,租赁业务
000027,电力
000027,燃气
000027,蒸汽
000027,运输
000030,零部件
000032,模块电源
000032,商业智能终端设备套件
000032,LED照明产品及配件
000032,铁路通讯设备
000032,商品房销售
000032,商品贸易
000032,物业租赁及水电管理费
000032,供应链一体化
000032,物流输运
000032,仓储装卸
000032,智慧城市系统工程
000031,商品房销售
000031,房屋租赁
000031,物业管理
000034,IT分销
000034,自主品牌
000034,云服务
000036,房产销售
000036,房地产出租
000036,酒店收入
000035,垃圾焚烧发电
000035,环保工程设备
000035,房屋租赁
000035,城市环境服务
000037,电力销售
000037,工程劳务
000037,污泥干化
000039,集装箱
000039,道路运输车辆
000039,能源
000039,化工
000039,液态食品装备
000039,海洋工程
000039,空港设备
000039,物流服务
000039,金融
000039,房地产
000039,重卡
000042,房地产
000042,服务
000042,酒店
000042,施工
000045,物业及租赁
000045,纺织品
000045,偏光片
000045,贸易
000043,建筑业
000043,房地产
000043,物业
000043,餐饮等服务
000046,房地产销售
000046,物业出租
000046,物业管理
000046,装修工程
000046,金融投资
000048,全价饲料
000048,浓缩料
000048,预混饲料
000048,自来水
000048,出租车客运服务
000048,禽业产品
000048,猪业产品
000048,房屋及土地租赁
000048,物业管理
000048,商品房
000048,成品鱼
000048,金融
000048,装修
000048,商业贸易
000049,电池及配件
000050,电子元器件
000056,商业运营服务
000056,金融服务
000056,融资租赁服务
000056,其他
000055,金属制造业
000055,轨道交通业
000055,新能源产业
000055,房地产业
000058,电子市场经营及物业出租服务
000058,贸易业
000058,酒店业
000058,电子商务业务
000058,金融业
000059,石化板块产品
000059,化肥板块产品
000061,农产品批发市场经营
000061,农产品加工生产
000061,市场配套服务
000060,精矿产品
000060,冶炼产品
000060,铝型材
000060,幕墙门窗
000060,电池材料
000060,商品房销售
000060,有色金属贸易业务
000062,电子元器件线下分销分部
000062,电子元器件线上交易平台分部
000062,电子元器件及终端产品线下交易平台分部
000062,终端产品线上分销分部
000065,国际工程承包
000065,国内建筑工程
000065,房地产销售
000065,货物贸易
000065,货运代理
000065,金属包装容器
000063,运营商网络
000063,消费者业务
000063,政企业务
000068,环保设备及材料
000068,技术咨询规划服务
000068,电子元器件
000068,仓租服务业
000066,高新电子
000066,信息安全整机及解决方案
000066,电源产品
000066,园区及物业服务
000069,旅游综合业务
000069,房地产
000069,纸包装
000070,通信及相关设备制造
000070,物业租赁
000078,生物制药
000078,医药
000078,保健品
000078,食品
000088,高速公路收费
000088,港口货物装卸运输
000088,仓储及其他服务
000089,航空主业
000089,航空增值
000089,航空物流
000089,航空广告
000096,成品油
000096,液体化工仓储
000096,危化品
000096,PVC贸易
000096,便利店
000096,物业租赁
000099,通航运输
000099,通航维修
000099,融资租赁
000100,多媒体电子
000100,移动通讯
000100,家电
000150,房地产销售
000150,医疗版块
000150,养老版块
000151,成套设备出口和工程承包
000151,一般贸易
000151,境外实业经营
000153,药品生产制造
000153,药品零售流通
000155,化工产品贸易
000155,电力销售
000155,化肥行业及化学制品制造业
000156,信息传播
000157,混凝土机械
000157,起重机械
000157,环境产业
000157,农业机械
000157,金融服务
000090,建筑施工
000090,房地产销售
000090,物业租赁
000090,棚改项目管理服务
000158,纺织业
000158,软件和信息技术服务业
000166,证券经纪业务
000166,融资融券业务
000166,证券自营业务
000166,证券承销与保荐业务
000166,证券资产管理业务
000166,基金管理业务
000166,股票期权做市业务
000166,期货经纪业务
000166,直接投资业务
000166,创新投资业务
000159,油品销售
000159,房地产销售
000301,化学纤维(涤纶长丝)
000301,聚酯切片
000301,真丝绸
000301,棉织品
000301,电绣品
000301,电力
000301,热蒸汽
000301,商业房
000301,住宅商品房;营业房出租
000333,制造业
000400,特高压
000400,智能电网
000400,新能源
000400,电动汽车充换电
000400,轨道交通
000400,工业智能化
000338,整车及关键零部件
