股票代码,申万一级行业
000001,银行
000002,房地产
000004,医药生物
000005,公用事业
000006,房地产
000007,商业贸易
000008,机械设备
000009,综合
000010,建筑装饰
000011,房地产
000012,建筑材料
000014,房地产
000016,家用电器
000017,汽车
000018,建筑装饰
000019,商业贸易
000020,电子
000021,计算机
000023,建筑材料
000025,汽车
000026,轻工制造
000027,公用事业
000028,医药生物
000030,汽车
000031,房地产
000032,通信
000034,计算机
000035,公用事业
000036,房地产
000037,公用事业
000038,传媒
000039,机械设备
000042,房地产
000043,房地产
000045,电子
000046,房地产
000048,农林牧渔
000049,电子
000050,电子
000055,建筑装饰
000056,商业贸易
000058,商业贸易
000059,化工
000060,有色金属
000061,商业贸易
000062,电子
000063,通信
000065,建筑装饰
000066,计算机
000068,公用事业
000069,房地产
000070,通信
000078,医药生物
000088,交通运输
000089,交通运输
000090,房地产
000096,化工
000099,交通运输
000100,电子
000150,医药生物
000151,商业贸易
000153,医药生物
000155,公用事业
000156,传媒
000157,机械设备
000158,计算机
000159,化工
000166,非银金融
000301,化工
000333,家用电器
000338,汽车
000400,电气设备
000401,建筑材料
000402,房地产
000403,医药生物
000404,家用电器
000407,公用事业
000408,化工
000409,综合
000410,机械设备
000415,非银金融
000416,非银金融
000417,商业贸易
000419,商业贸易
000420,化工
000421,公用事业
000422,化工
000423,医药生物
000425,机械设备
000426,有色金属
000428,休闲服务
000429,交通运输
000430,休闲服务
000488,轻工制造
000498,建筑装饰
000501,商业贸易
000502,房地产
000503,医药生物
000504,医药生物
000505,农林牧渔
000506,有色金属
000507,交通运输
000509,医药生物
000510,化工
000513,医药生物
000514,房地产
000517,房地产
000518,医药生物
000519,国防军工
000520,交通运输
000521,家用电器
000523,化工
000524,休闲服务
000525,化工
000526,传媒
000528,机械设备
000529,传媒
000530,机械设备
000531,公用事业
000532,非银金融
000533,电气设备
000534,医药生物
000536,电子
000537,房地产
000538,医药生物
000539,公用事业
000540,房地产
000541,电子
000543,公用事业
000544,公用事业
000545,化工
000546,建筑材料
000547,国防军工
000548,交通运输
000550,汽车
000551,机械设备
000552,采掘
000553,化工
000554,化工
000555,计算机
000557,交通运输
000558,房地产
000559,汽车
000560,房地产
000561,通信
000563,非银金融
000564,商业贸易
000565,化工
000566,医药生物
000567,非银金融
000568,食品饮料
000570,机械设备
000571,采掘
000572,汽车
000573,房地产
000576,综合
000581,汽车
000582,交通运输
000584,机械设备
000585,电气设备
000586,通信
000587,轻工制造
000589,化工
000590,医药生物
000591,公用事业
000592,农林牧渔
000593,公用事业
000595,机械设备
000596,食品饮料
000598,公用事业
000599,化工
000600,公用事业
000601,公用事业
000603,有色金属
000605,公用事业
000606,计算机
000607,传媒
000608,房地产
000609,房地产
000611,纺织服装
000612,有色金属
000613,休闲服务
000615,房地产
000616,房地产
000617,非银金融
000619,建筑材料
000620,房地产
000622,汽车
000623,医药生物
000625,汽车
000626,商业贸易
000627,非银金融
000628,综合
000629,有色金属
000630,有色金属
000631,房地产
000632,房地产
000633,有色金属
000635,化工
000636,电子
000637,化工
000638,医药生物
000639,食品饮料
000650,医药生物
000651,家用电器
000652,综合
000655,采掘
000656,房地产
000657,有色金属
000659,轻工制造
000661,医药生物
000662,计算机
000663,轻工制造
000665,传媒
000666,非银金融
000667,房地产
000668,房地产
000669,公用事业
000670,电子
000671,房地产
000672,建筑材料
000673,传媒
000676,传媒
000677,化工
000678,汽车
000679,商业贸易
000680,机械设备
000681,传媒
000682,电气设备
000683,化工
000685,公用事业
000686,非银金融
000687,国防军工
000688,有色金属
000690,公用事业
000691,房地产
000692,公用事业
000695,轻工制造
000697,国防军工
000698,化工
000700,汽车
000701,商业贸易
000702,农林牧渔
000703,化工
000705,医药生物
000707,化工
000708,钢铁
000709,钢铁
000710,医药生物
000711,公用事业
000712,非银金融
000713,农林牧渔
000715,商业贸易
000716,食品饮料
000717,钢铁
000718,房地产
000719,传媒
000720,房地产
000722,公用事业
000723,采掘
000725,电子
000726,纺织服装
000727,电子
000728,非银金融
000729,食品饮料
000731,化工
000732,房地产
000733,电子
000735,农林牧渔
000736,房地产
000737,化工
000738,国防军工
000739,医药生物
000750,非银金融
000751,有色金属
000752,食品饮料
000753,汽车
000755,交通运输
000756,医药生物
000757,汽车
000759,商业贸易
000760,汽车
000761,钢铁
000762,有色金属
000766,医药生物
000767,公用事业
000768,国防军工
000776,非银金融
000777,机械设备
000778,钢铁
000779,建筑装饰
000780,采掘
000782,化工
000783,非银金融
000785,商业贸易
000786,建筑材料
000788,医药生物
000789,建筑材料
000790,医药生物
000791,公用事业
000792,化工
000793,传媒
000795,有色金属
000796,休闲服务
000797,房地产
000798,农林牧渔
000799,食品饮料
000800,汽车
000801,家用电器
000802,传媒
000803,电气设备
000806,电气设备
000807,有色金属
000809,房地产
000810,家用电器
000811,机械设备
000812,轻工制造
000813,医药生物
000815,轻工制造
000816,机械设备
000818,化工
000819,化工
000820,公用事业
000821,机械设备
000822,化工
000823,电子
000825,钢铁
000826,公用事业
000828,交通运输
000829,商业贸易
000830,化工
000831,有色金属
000833,采掘
000835,传媒
000836,通信
000837,机械设备
000838,房地产
000839,综合
000848,食品饮料
000850,纺织服装
000851,通信
000852,机械设备
000856,机械设备
000858,食品饮料
000859,化工
000860,食品饮料
000861,商业贸易
000862,公用事业
000863,房地产
000868,汽车
000869,食品饮料
000875,公用事业
000876,农林牧渔
000877,建筑材料
000878,有色金属
000880,机械设备
000881,化工
000882,商业贸易
000883,公用事业
000885,交通运输
000886,房地产
000887,汽车
000888,休闲服务
000889,通信
000890,非银金融
000892,传媒
000893,化工
000895,食品饮料
000897,房地产
000898,钢铁
000899,公用事业
000900,交通运输
000901,机械设备
000902,化工
000903,汽车
000905,交通运输
000906,商业贸易
000908,医药生物
000909,房地产
000910,轻工制造
000911,农林牧渔
000912,化工
000913,汽车
000915,医药生物
000917,传媒
000918,房地产
000919,医药生物
000920,公用事业
000921,家用电器
000922,电气设备
000923,采掘
000925,机械设备
000926,房地产
000927,汽车
000928,建筑装饰
000929,食品饮料
000930,农林牧渔
000931,医药生物
000932,钢铁
000933,有色金属
000935,建筑材料
000936,化工
000937,采掘
000938,计算机
000948,计算机
000949,化工
000950,医药生物
000951,汽车
000952,医药生物
000953,化工
000955,纺织服装
000957,汽车
000958,公用事业
000959,钢铁
000960,有色金属
000961,房地产
000962,有色金属
000963,医药生物
000965,房地产
000966,公用事业
000967,公用事业
000968,采掘
000969,有色金属
000970,有色金属
000971,通信
000972,农林牧渔
000973,化工
000975,有色金属
000976,机械设备
000977,计算机
000978,休闲服务
000980,汽车
000981,汽车
000982,纺织服装
000983,采掘
000985,化工
000987,非银金融
000988,电子
000989,医药生物
000990,化工
000993,公用事业
000996,汽车
000997,计算机
000998,农林牧渔
000999,医药生物
001696,汽车
001872,交通运输
001896,公用事业
001965,交通运输
001979,房地产
002001,医药生物
002002,化工
002003,纺织服装
002004,化工
002005,电子
002006,机械设备
002007,医药生物
002009,机械设备
002010,交通运输
002012,轻工制造
002013,国防军工
002014,轻工制造
002015,公用事业
002016,房地产
002017,通信
002019,医药生物
002020,医药生物
002021,机械设备
002022,医药生物
002023,国防军工
002024,商业贸易
002025,国防军工
002026,机械设备
002027,传媒
002028,电气设备
002029,纺织服装
002030,医药生物
002031,机械设备
002032,家用电器
002033,休闲服务
002034,公用事业
002035,家用电器
002036,电子
002037,化工
002038,医药生物
002039,公用事业
002040,交通运输
002041,农林牧渔
002042,纺织服装
002043,建筑材料
002044,医药生物
002045,电子
002046,机械设备
002047,建筑装饰
002048,汽车
002049,电子
002050,家用电器
002051,建筑装饰
002052,家用电器
002053,化工
002054,化工
002055,电子
002056,有色金属
002057,有色金属
002058,电气设备
002059,机械设备
002060,建筑装饰
002061,建筑装饰
002062,建筑装饰
002063,计算机
002064,化工
002065,计算机
002066,建筑材料
002067,轻工制造
002068,化工
002069,农林牧渔
002071,传媒
002072,计算机
002073,机械设备
002074,电气设备
002075,钢铁
002076,电子
002077,电子
002078,轻工制造
002079,电子
002080,化工
002081,建筑装饰
002082,建筑材料
002083,纺织服装
002084,轻工制造
002085,汽车
002086,农林牧渔
002087,纺织服装
002088,建筑材料
002089,通信
002090,电气设备
002091,商业贸易
002092,化工
002093,通信
002094,化工
002095,传媒
002096,化工
002097,机械设备
002098,纺织服装
002099,医药生物
002100,农林牧渔
002101,汽车
002102,医药生物
002103,传媒
002104,通信
002105,汽车
002106,电子
002107,医药生物
002108,化工
002109,化工
002110,钢铁
002111,机械设备
002112,电气设备
002113,传媒
002114,有色金属
002115,通信
002116,建筑装饰
002117,轻工制造
002118,医药生物
002119,电子
002120,交通运输
002121,电气设备
002122,机械设备
002123,通信
002124,农林牧渔
002125,化工
002126,汽车
002127,商业贸易
002128,采掘
002129,电气设备
002130,有色金属
002131,传媒
002132,机械设备
002133,房地产
002134,电子
002135,建筑装饰
002136,化工
002137,传媒
002138,电子
002139,电子
002140,建筑装饰
002141,电子
002142,银行
002144,纺织服装
002145,化工
002146,房地产
002147,房地产
002148,传媒
002149,有色金属
002150,机械设备
002151,国防军工
002152,计算机
002153,计算机
002154,纺织服装
002155,有色金属
002156,电子
002157,农林牧渔
002158,机械设备
002159,休闲服务
002160,有色金属
002161,电子
002162,建筑材料
002163,建筑材料
002164,机械设备
002165,化工
002166,医药生物
002167,有色金属
002168,传媒
002169,电气设备
002170,化工
002171,有色金属
002172,化工
002173,医药生物
002174,传媒
002175,传媒
002176,电气设备
002177,计算机
002178,建筑装饰
002179,国防军工
002180,计算机
002181,传媒
002182,有色金属
002183,交通运输
002184,电气设备
002185,电子
002186,休闲服务
002187,商业贸易
002188,电子
002189,电子
002190,电气设备
002191,轻工制造
002192,机械设备
002193,纺织服装
002194,通信
002195,计算机
002196,电气设备
002197,计算机
002198,医药生物
002199,电子
002200,建筑装饰
002201,化工
002202,电气设备
002203,有色金属
002204,机械设备
002205,公用事业
002206,化工
002207,采掘
002208,房地产
002209,机械设备
002210,交通运输
002211,化工
002212,计算机
002213,汽车
002214,电子
002215,化工
002216,食品饮料
002217,电子
002218,电气设备
002219,医药生物
002220,农林牧渔
002221,化工
002222,电子
002223,医药生物
002224,化工
002225,建筑材料
002226,化工
002227,电气设备
002228,轻工制造
002229,轻工制造
002230,计算机
002231,通信
002232,计算机
002233,建筑材料
002234,农林牧渔
002235,传媒
002236,电子
002237,有色金属
002238,传媒
002239,汽车
002240,轻工制造
002241,电子
002242,家用电器
002243,轻工制造
002244,房地产
002245,交通运输
002246,化工
002247,传媒
002248,机械设备
002249,电气设备
002250,化工
002251,商业贸易
002252,医药生物
002253,计算机
002255,电气设备
002256,公用事业
002258,化工
002259,公用事业
002261,传媒
002262,医药生物
002263,化工
002264,商业贸易
002265,汽车
002266,电气设备
002267,公用事业
002268,计算机
002269,纺织服装
002270,电气设备
002271,建筑材料
002272,机械设备
002273,电子
002274,化工
002275,医药生物
002276,电气设备
002277,商业贸易
002278,机械设备
002279,计算机
002280,计算机
002281,通信
002282,机械设备
002283,汽车
002284,汽车
002286,农林牧渔
002287,医药生物
002288,电子
002289,电子
002290,家用电器
002291,纺织服装
002292,传媒
002293,纺织服装
002294,医药生物
002295,有色金属
002296,计算机
002297,国防军工
002298,计算机
002299,农林牧渔
002300,电气设备
002301,轻工制造
002302,建筑材料
002303,轻工制造
002304,食品饮料
002305,房地产
002306,休闲服务
002307,建筑装饰
002308,计算机
002309,电气设备
002310,公用事业
002311,农林牧渔
002312,计算机
002313,通信
002314,房地产
002315,传媒
002316,计算机
002317,医药生物
002318,钢铁
002319,化工
002320,交通运输
002321,农林牧渔
002322,计算机
002324,化工
002325,建筑装饰
002326,化工
002327,纺织服装
002328,汽车
002329,食品饮料
002330,食品饮料
002331,计算机
002332,医药生物
002333,建筑材料
002334,电气设备
002335,电气设备
002336,商业贸易
002337,机械设备
002338,机械设备
002339,电气设备
002340,有色金属
002341,化工
002342,机械设备
002343,传媒
002344,商业贸易
002345,轻工制造
002346,电气设备
002347,机械设备
002348,计算机
002349,医药生物
002350,电气设备
002351,电子
002352,交通运输
002353,机械设备
002354,传媒
002355,汽车
002356,轻工制造
002357,交通运输
002358,电气设备
002359,通信
002360,化工
002361,化工
002362,计算机
002363,汽车
002364,电气设备
002365,医药生物
002366,机械设备
002367,机械设备
002368,计算机
002369,电子
002370,医药生物
002371,电子
002372,建筑材料
002373,计算机
002374,建筑装饰
002375,建筑装饰
002376,计算机
002377,房地产
002378,有色金属
002379,有色金属
002380,电气设备
002381,化工
002382,医药生物
002383,计算机
002384,电子
002385,农林牧渔
002386,化工
002387,电子
002388,电子
002389,国防军工
002390,医药生物
002391,化工
002392,建筑材料
002393,医药生物
002394,纺织服装
002395,化工
002396,通信
002397,纺织服装
002398,建筑材料
002399,医药生物
002400,传媒
002401,计算机
002402,电子
002403,家用电器
002404,纺织服装
002405,计算机
002406,汽车
002407,化工
002408,化工
002409,化工
002410,计算机
002411,医药生物
002412,医药生物
002413,国防军工
002414,电子
002415,电子
002416,商业贸易
002417,计算机
002418,家用电器
002419,商业贸易
002420,家用电器
002421,计算机
002422,医药生物
002423,非银金融
002424,医药生物
002425,传媒
002426,机械设备
002427,化工
002428,有色金属
002429,家用电器
002430,机械设备
002431,建筑装饰
002432,医药生物
002433,医药生物
002434,汽车
002435,医药生物
002436,电子
002437,医药生物
002438,机械设备
002439,计算机
002440,化工
002441,电气设备
002442,化工
002443,钢铁
002444,机械设备
002445,传媒
002446,通信
002447,传媒
002448,汽车
002449,电子
002451,电气设备
002452,电气设备
002453,计算机
002454,汽车
002455,化工
002456,电子
002457,建筑材料
002458,农林牧渔
002459,机械设备
002460,有色金属
002461,食品饮料
002462,医药生物
002463,电子
002464,传媒
002465,国防军工
002466,有色金属
002467,通信
002468,交通运输
002469,建筑装饰
002470,化工
002471,电气设备
002472,汽车
002473,家用电器
002474,计算机
002475,电子
002476,化工
002478,钢铁
002479,公用事业
002480,机械设备
002481,食品饮料
002482,建筑装饰
002483,机械设备
002484,电子
002486,纺织服装
002487,机械设备
002488,汽车
002489,轻工制造
002490,机械设备
002491,通信
002492,交通运输
002493,化工
002494,纺织服装
002495,食品饮料
002496,化工
002497,化工
002498,电气设备
002499,电气设备
002500,非银金融
002501,有色金属
002502,传媒
002503,纺织服装
002504,建筑装饰
002505,商业贸易
002506,电气设备
002507,食品饮料
002508,家用电器
002509,建筑装饰
002510,汽车
002511,轻工制造
002512,计算机
002513,化工
002514,机械设备
002515,食品饮料
002516,纺织服装
002517,传媒
002518,电气设备
002519,家用电器
002520,机械设备
002521,轻工制造
002522,轻工制造
002523,机械设备
002524,医药生物
002526,机械设备
002527,电气设备
002528,计算机
002529,机械设备
002530,计算机
002531,电气设备
002532,机械设备
002533,电气设备
002534,电气设备
002535,机械设备
002536,汽车
002537,计算机
002538,化工
002539,化工
002540,有色金属
002541,建筑装饰
002542,建筑装饰
002543,家用电器
002544,通信
002545,化工
002546,电气设备
002547,电子
002548,农林牧渔
002549,化工
002550,医药生物
002551,医药生物
002552,机械设备
002553,汽车
002554,采掘
002555,传媒
002556,化工
002557,食品饮料
002558,传媒
002559,机械设备
002560,电气设备
002561,商业贸易
002562,医药生物
002563,纺织服装
002564,建筑装饰
002565,轻工制造
002566,医药生物
002567,农林牧渔
002568,食品饮料
002569,纺织服装
002570,食品饮料
002571,轻工制造
002572,轻工制造
002573,公用事业
002574,轻工制造
002575,轻工制造
002576,电气设备
002577,计算机
002578,有色金属
002579,电子
002580,电气设备
002581,医药生物
002582,食品饮料
002583,通信
002584,化工
002585,轻工制造
002586,建筑装饰
002587,电子
002588,化工
002589,医药生物
002590,汽车
002591,传媒
002592,汽车
002593,建筑装饰
002594,汽车
002595,机械设备
002596,建筑材料
002597,化工
002598,机械设备
002599,轻工制造
002600,电子
002601,化工
002602,传媒
002603,医药生物
002605,轻工制造
002606,电气设备
002607,传媒
002608,公用事业
002609,计算机
002610,电气设备
002611,汽车
002612,纺织服装
002613,机械设备
002614,家用电器
002615,轻工制造
002616,公用事业
002617,电气设备
002618,电子
002619,传媒
002620,建筑装饰
002621,传媒
002622,传媒
002623,建筑材料
002624,传媒
002625,汽车
002626,医药生物
002627,交通运输
002628,建筑装饰
002629,采掘
002630,电气设备
002631,轻工制造
002632,化工
002633,机械设备
002634,纺织服装
002635,电子
002636,电子
002637,化工
002638,传媒
002639,机械设备
002640,商业贸易
002641,建筑材料
002642,计算机
002643,化工
002644,医药生物
002645,机械设备
002646,食品饮料
002647,非银金融
002648,化工
002649,计算机
002650,食品饮料
002651,机械设备
002652,建筑材料
002653,医药生物
002654,传媒
002655,电子
002656,纺织服装
002657,计算机
002658,公用事业
002659,传媒
002660,电子
002661,食品饮料
002662,汽车
002663,建筑装饰
002664,汽车
002665,电气设备
002666,化工
002667,机械设备
002668,家用电器
002669,化工
002670,非银金融
002671,建筑材料
002672,公用事业
002673,非银金融
002674,纺织服装
002675,医药生物
002676,家用电器
002677,家用电器
002678,轻工制造
002679,农林牧渔
002681,电子
002682,交通运输
002683,化工
002684,电子
002685,机械设备
002686,机械设备
002687,纺织服装
002688,农林牧渔
002689,机械设备
002690,机械设备
002691,机械设备
002692,电气设备
002693,医药生物
002694,建筑材料
002695,食品饮料
002696,农林牧渔
002697,商业贸易
002698,机械设备
002699,传媒
002700,公用事业
002701,轻工制造
002702,食品饮料
002703,汽车
002705,家用电器
002706,电气设备
002707,休闲服务
002708,汽车
002709,化工
002711,交通运输
002712,传媒
002713,建筑装饰
002714,农林牧渔
002715,汽车
002716,有色金属
002717,公用事业
002718,建筑材料
002719,食品饮料
002721,轻工制造
002722,机械设备
002723,家用电器
002725,汽车
002726,食品饮料
002727,医药生物
002728,医药生物
002729,电子
002730,机械设备
002731,轻工制造
002732,食品饮料
002733,电气设备
002734,化工
002735,轻工制造
002736,非银金融
002737,医药生物
002738,采掘
002739,传媒
002740,轻工制造
002741,化工
002742,建筑材料
002743,建筑装饰
002745,电子
002746,农林牧渔
002747,机械设备
002748,化工
002749,化工
002750,医药生物
002751,轻工制造
002752,轻工制造
002753,化工
002755,医药生物
002756,钢铁
002757,机械设备
002758,医药生物
002759,家用电器
002760,机械设备
002761,纺织服装
002762,纺织服装
002763,纺织服装
002765,汽车
002766,计算机
002767,电气设备
002768,化工
002769,交通运输
002770,食品饮料
002771,计算机
002772,农林牧渔
002773,医药生物
002774,机械设备
002775,建筑装饰
002776,纺织服装
002777,计算机
002778,化工
002779,机械设备
002780,纺织服装
002781,建筑装饰
002782,电子
002783,化工
002785,建筑材料
002786,机械设备
002787,轻工制造
002788,医药生物
002789,建筑装饰
002790,轻工制造
002791,建筑材料
002792,通信
002793,机械设备
002795,机械设备
