股票代码,申万二级行业
000001,银行
000002,房地产开发Ⅱ
000004,化学制药
000005,环保工程及服务
000006,房地产开发Ⅱ
000007,商业物业经营
000008,运输设备
000009,综合Ⅱ
000010,园林工程
000011,房地产开发Ⅱ
000012,玻璃制造
000014,房地产开发Ⅱ
000016,视听器材
000017,其他交运设备
000018,专业工程
000019,贸易Ⅱ
000020,电子制造
000021,计算机设备
000023,其他建材
000025,汽车服务
000026,家用轻工
000027,电力
000028,医药商业Ⅱ
000030,汽车零部件
000031,房地产开发Ⅱ
000032,通信设备
000034,计算机应用
000035,环保工程及服务
000036,房地产开发Ⅱ
000037,电力
000038,营销传播
000039,金属制品
000042,房地产开发Ⅱ
000043,房地产开发Ⅱ
000045,光学光电子
000046,房地产开发Ⅱ
000048,饲料Ⅱ
000049,电子制造
000050,光学光电子
000055,专业工程
000056,商业物业经营
000058,商业物业经营
000059,石油化工
000060,工业金属
000061,商业物业经营
000062,其他电子
000063,通信设备
000065,专业工程
000066,计算机设备
000068,环保工程及服务
000069,房地产开发Ⅱ
000070,通信设备
000078,医药商业Ⅱ
000088,港口Ⅱ
000089,机场Ⅱ
000090,房地产开发Ⅱ
000096,石油化工
000099,航空运输Ⅱ
000100,光学光电子
000150,医疗服务Ⅱ
000151,贸易Ⅱ
000153,化学制药
000155,电力
000156,文化传媒
000157,专用设备
000158,计算机应用
000159,石油化工
000166,证券
000301,化学纤维
000333,白色家电
000338,汽车零部件
000400,电气自动化设备
000401,水泥制造
000402,房地产开发Ⅱ
000403,生物制品Ⅱ
000404,白色家电
000407,燃气Ⅱ
000408,化学制品
000409,综合Ⅱ
000410,通用机械
000415,多元金融
000416,多元金融
000417,一般零售
000419,一般零售
000420,化学纤维
000421,燃气Ⅱ
000422,化学原料
000423,中药Ⅱ
000425,专用设备
000426,工业金属
000428,酒店Ⅱ
000429,高速公路Ⅱ
000430,景点
000488,造纸Ⅱ
000498,基础建设
000501,一般零售
000502,房地产开发Ⅱ
000503,医疗服务Ⅱ
000504,生物制品Ⅱ
000505,农产品加工
000506,黄金
000507,港口Ⅱ
000509,医疗服务Ⅱ
000510,化学原料
000513,化学制药
000514,房地产开发Ⅱ
000517,房地产开发Ⅱ
000518,生物制品Ⅱ
000519,地面兵装
000520,航运Ⅱ
000521,白色家电
000523,化学制品
000524,旅游综合Ⅱ
000525,化学制品
000526,文化传媒
000528,专用设备
000529,文化传媒
000530,通用机械
000531,电力
000532,多元金融
000533,高低压设备
000534,生物制品Ⅱ
000536,光学光电子
000537,房地产开发Ⅱ
000538,中药Ⅱ
000539,电力
000540,房地产开发Ⅱ
000541,光学光电子
000543,电力
000544,水务Ⅱ
000545,化学制品
000546,水泥制造
000547,地面兵装
000548,高速公路Ⅱ
000550,汽车整车
000551,专用设备
000552,煤炭开采Ⅱ
000553,化学制品
000554,石油化工
000555,计算机应用
000557,铁路运输Ⅱ
000558,房地产开发Ⅱ
000559,汽车零部件
000560,房地产开发Ⅱ
000561,通信设备
000563,多元金融
000564,一般零售
000565,化学制品
000566,化学制药
000567,多元金融
000568,饮料制造
000570,通用机械
000571,煤炭开采Ⅱ
000572,汽车整车
000573,房地产开发Ⅱ
000576,综合Ⅱ
000581,汽车零部件
000582,港口Ⅱ
000584,专用设备
000585,高低压设备
000586,通信设备
000587,家用轻工
000589,橡胶
000590,中药Ⅱ
000591,电力
000592,林业Ⅱ
000593,燃气Ⅱ
000595,通用机械
000596,饮料制造
000598,水务Ⅱ
000599,橡胶
000600,电力
000601,电力
000603,工业金属
000605,水务Ⅱ
000606,计算机应用
000607,营销传播
000608,房地产开发Ⅱ
000609,房地产开发Ⅱ
000611,纺织制造
000612,工业金属
000613,酒店Ⅱ
000615,房地产开发Ⅱ
000616,房地产开发Ⅱ
000617,多元金融
000619,其他建材
000620,房地产开发Ⅱ
000622,汽车零部件
000623,化学制药
000625,汽车整车
000626,贸易Ⅱ
000627,保险
000628,综合Ⅱ
000629,稀有金属
000630,工业金属
000631,房地产开发Ⅱ
000632,房地产开发Ⅱ
000633,金属非金属新材料
000635,化学原料
000636,元件Ⅱ
000637,石油化工
000638,医疗服务Ⅱ
000639,食品加工
000650,中药Ⅱ
000651,白色家电
000652,综合Ⅱ
000655,其他采掘Ⅱ
000656,房地产开发Ⅱ
000657,稀有金属
000659,包装印刷Ⅱ
000661,生物制品Ⅱ
000662,计算机应用
000663,家用轻工
000665,文化传媒
000666,多元金融
000667,房地产开发Ⅱ
000668,房地产开发Ⅱ
000669,燃气Ⅱ
000670,半导体
000671,房地产开发Ⅱ
000672,水泥制造
000673,文化传媒
000676,互联网传媒
000677,化学纤维
000678,汽车零部件
000679,一般零售
000680,专用设备
000681,文化传媒
000682,电气自动化设备
000683,化学原料
000685,水务Ⅱ
000686,证券
000687,航空装备
000688,工业金属
000690,电力
000691,房地产开发Ⅱ
000692,电力
000695,包装印刷Ⅱ
000697,航空装备
000698,石油化工
000700,汽车零部件
000701,贸易Ⅱ
000702,饲料Ⅱ
000703,化学纤维
000705,医药商业Ⅱ
000707,化学原料
000708,钢铁
000709,钢铁
000710,医疗器械Ⅱ
000711,环保工程及服务
000712,证券
000713,种植业
000715,一般零售
000716,食品加工
000717,钢铁
000718,房地产开发Ⅱ
000719,文化传媒
000720,房地产开发Ⅱ
000722,电力
000723,煤炭开采Ⅱ
000725,光学光电子
000726,纺织制造
000727,光学光电子
000728,证券
000729,饮料制造
000731,化学制品
000732,房地产开发Ⅱ
000733,元件Ⅱ
000735,畜禽养殖
000736,房地产开发Ⅱ
000737,化学原料
000738,航空装备
000739,化学制药
000750,证券
000751,工业金属
000752,饮料制造
000753,汽车服务
000755,高速公路Ⅱ
000756,化学制药
000757,汽车零部件
000759,一般零售
000760,汽车零部件
000761,钢铁
000762,稀有金属
000766,化学制药
000767,电力
000768,航空装备
000776,证券
000777,通用机械
000778,钢铁
000779,基础建设
000780,煤炭开采Ⅱ
000782,化学纤维
000783,证券
000785,一般零售
000786,其他建材
000788,化学制药
000789,水泥制造
000790,中药Ⅱ
000791,电力
000792,化学制品
000793,文化传媒
000795,金属非金属新材料
000796,旅游综合Ⅱ
000797,房地产开发Ⅱ
000798,渔业
000799,饮料制造
000800,汽车整车
000801,视听器材
000802,文化传媒
000803,电源设备
000806,高低压设备
000807,工业金属
000809,房地产开发Ⅱ
000810,视听器材
000811,通用机械
000812,包装印刷Ⅱ
000813,化学制药
000815,造纸Ⅱ
000816,通用机械
000818,化学原料
000819,石油化工
000820,环保工程及服务
000821,专用设备
000822,化学原料
000823,元件Ⅱ
000825,钢铁
000826,环保工程及服务
000828,高速公路Ⅱ
000829,专业零售
000830,化学制品
000831,稀有金属
000833,其他采掘Ⅱ
000835,互联网传媒
000836,通信设备
000837,通用机械
000838,房地产开发Ⅱ
000839,综合Ⅱ
000848,饮料制造
000850,纺织制造
000851,通信设备
000852,专用设备
000856,专用设备
000858,饮料制造
000859,塑料Ⅱ
000860,饮料制造
000861,商业物业经营
000862,电力
