股票代码,经营范围
000002,兴办实业(具体项目另行申报)；国内商业；物资供销业(不含专营
000002,专控
000002,专卖商品)；进出口业务(按深经发审证字第113号外贸企业审定证书规定办理)；房地产开发。
000001,吸收公众存款；发放短期
000001,中期和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行
000001,代理兑付
000001,承销政府债券；买卖政府债券
000001,金融债券；从事同业拆借；买卖
000001,代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；结汇
000001,售汇业务；离岸银行业务；资产托管业务；办理黄金业务；财务顾问
000001,资信调查
000001,咨询
000001,见证业务；经有关监管机构批准的其他业务。
000005,生产经营各种喷胶布
000005,针刺布
000005,缝编尼纺布
000005,粘合布
000005,纤维裥棉色织
000005,印花布以及服装
000005,服装面料
000005,辅料
000005,配料
000005,纺织制衣设备
000005,仪器仪表
000005,轻纺原材料。
000004,通讯
000004,计算机
000004,软件
000004,新材料
000004,生物技术和生物特征识别技术
000004,新药
000004,生物制品
000004,医用检测试剂和设备的研究与开发;信息咨询;计算机软件及生物技术的培训(以上各项不含限制项目)
000004,兴办实业(具体项目另行申报)
000004,房地产开发与经营。
000007,投资兴办实业（具体项目另行申报）；国内商业
000007,物资供销业（不含专营
000007,专控
000007,专卖商品）；自有物业租赁；环保产品的技术开发；信息咨询（不含限制项目）；项目投资；矿业投资；矿产品的销售（不含专营
000007,专控
000007,专卖商品），经营进出口业务（法律
000007,行政法规
000007,国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；投资金融服务项目并进行投资管理（不得从事证券投资活动；不得以公开方式募集资金开展投资活动；不得从事公开募集基金管理业务）；从事其他投资与投资管理。
000006,土地开发
000006,房产销售及租赁
000006,物业管理。
000009,新材料
000009,新能源材料
000009,新能源等高新技术产业项目的投资及经营；现代生物医药项目的投资及经营；房地产开发经营。
000008,轨道交通
000008,计息机网络的技术开发
000008,技术咨询
000008,技术转让
000008,技术服务；销售开发后的产品；计算机系统服务；货物进出口；技术进出口；代理进出口；项目投资；物业管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）。
000010,投资与管理；制造计算机软硬件;计算系统服务;技术开发
000010,技术服务
000010,经济信息咨询；销售林木（不含种子）
000010,花卉（不含种子）
000010,草坪（不含种子）；机械设备
000010,建筑材料；电子产品
000010,体育用品；货物进出口；代理进出口；技术进出口。
000011,房地产开发及商品房销售，商品楼宇的建筑
000011,管理，房屋租赁，建设监理。国内商业
000011,物资供销业（不含专营
000011,专卖
000011,专控商品）。
000012,平板玻璃
000012,特种玻璃
000012,工程玻璃
000012,节能及以玻璃为介质的能源产品的生产和销售
000012,多晶硅和太阳能组件的生产和销售
000012,电子玻璃及显示器件的生产和销售以及光伏电站的建设和运营等。
000014,在合法取得土地使用权范围内从事房地产开发经营业务；国内商业
000014,物资供销业（不含专营
000014,专控
000014,专卖商品）；兴办实业（具体项目另报）；自有物业租赁。
000017,生产装配各种类型的自行车及自行车零件
000017,部件
000017,配件
000017,健身车
000017,机械产品
000017,运动器械
000017,精细化工
000017,碳纤维复合材料
000017,家用小电器及配套原件（不含许可证管理产品）
000019,一般经营项目：粮油收购和销售
000019,粮油储备；粮油及制品经营及加工；生产茶叶
000019,茶制品
000019,茶及天然植物提取物
000019,食品罐头
000019,饮料
000019,土产品(生产场所营业执照另行申办)；饲料的经营及加工（以外包的方式经营）；粮油物流
000019,饲料物流
000019,茶园等项目投资
000019,经营管理及开发；饲料
000019,茶叶销售；仓储服务；粮食流通服务；现代粮食供应链服务；粮油
000019,茶
000019,植物产品
000019,软饮料和食品的技术开发
000019,技术服务；电子商务及信息化建设，信息技术开发及配套服务；投资兴办实业（具体项目另行申报）；国内贸易；经营进出口业务；在合法取得使用权的土地上从事房地产开发经营；自有物业的开发
000019,经营
000019,租售
000019,管理；物业管理；为酒店提供管理服务。(以上涉及国家法律
000019,行政法规
000019,国务院决定规定须报经审批的项目，须经审批后方可经营)。许可证经营项目：预包装食品（不含复热预包装食品）的批发（非实物方式）；信息服务业务（仅限互联网信息服务业务）；普通货运
000019,专业运输（冷藏保鲜）。
000018,工程设计与施工，基础设施投资，新能源建设与投资，医疗投资，生命技术研究开发，装备制造，防务装备，金融投资，房地产开发。（最终以工商行政管理部门核准为准）。
000020,生产经营各种彩色电视机
000020,液晶显示器
000020,液晶显示屏（在分支机构生产经营）
000020,收录机
000020,音响设备
000020,电子表
000020,电子游戏机
000020,电脑等各类电子产品及配套的印制线路板
000020,精密注塑件
000020,轻型包装材料（在武汉生产经营）
000020,五金件（含工模具），电镀及表面处理
000020,焊锡丝，房地产开发经营（深房地产第7226760号），物业管理。
000023,普通货运，货物专用运输（罐式）（凭道路运输经营许可证经营）。一般经营项目：商品混凝土及其原材料的生产
000023,销售（具体生产场地执照另行申办）；水泥制品的生产
000023,销售（具体生产场地执照另行申办）；在合法取得土地使用权的地块上从事房地产开发；物流服务；机电设备维修；物业管理；投资兴办实业（具体项目另行申报）；国内商业
000023,物资供销业（不含专营
000023,专控
000023,专卖商品及限制项目）；经营进出口业务（按深府办函【1994】278号文执行）。
000021,开发
000021,生产
000021,经营计算机软
000021,硬件系统及其外部设备
000021,通讯设备
000021,电子仪器仪表及其零部件
000021,原器件
000021,接插件和原材料，生产
000021,经营家用商品电脑及电子玩具（以上生产项目均不含限制项目）；金融计算机软件模型的制作和设计
000021,精密模具CAD/CAM技术
000021,节能型自动化机电产品和智能自动化控制系统
000021,办公自动化设备
000021,激光仪器
000021,光电产品及金卡系统
000021,光通讯系统和信息网络系统的技术开发和安装工程；商用机器（含税控设备
000021,税控系统）
000021,机顶盒
000021,表计类产品（水表
000021,气表等）
000021,网络多媒体产品的开发
000021,设计
000021,生产
000021,销售及服务；金融终端设备的开发
000021,设计
000021,生产
000021,销售
000021,技术服务
000021,售后服务及系统集成；经营进出口业务；普通货运；房屋
000021,设备及固定资产租赁；LED照明产品的研发
000021,生产和销售，合同能源管理；节能服务
000021,城市亮化
000021,照明工程的设计
000021,安装
000021,维护。
000025,投资兴办实业（具体项目另行申报）；国内商业
000025,物资供销业（不含专营
000025,专控
000025,专卖商品）；自有物业租赁与管理。自营本公司及所属企业自产产品
000025,自用生产材料
000025,金属加工机械
000025,通用零件的进出口业务
000025,进出口业务按深贸管证字第０９８号外贸审定证书办理。
000026,生产经营各种指针式机械表
000026,石英表及其机心
000026,零部件
000026,各种计时仪器
000026,加工批发K金手饰表
000026,智能手表；国内商业
000026,物资供销业（不含专营
000026,专控
000026,专卖商品）；物业管理及物业租赁；设计服务；自营进出口业务（按深贸管登证字第2007-072号文执行）。
000027,各种常规能源和新能源的开发
000027,生产
000027,购销；投资和经营与能源相关的原材料的开发和运输
000027,港口
000027,码头和仓储工业等。
000030,汽车零部件及相关产品的研发
000030,设计
000030,制造
000030,销售及售后服务;进出口业务;设备及工艺装备的设计
000030,制造及相关服务;租赁业务
000030,物业服务业务;仓储和配送业务及相关服务。
000032,研发
000032,生产
000032,销售通信设备
000032,交通通讯设备(生产场地营业执照另行办理)
000032,计算机及软件
000032,办公自动化设备
000032,机械
000032,光机电一体化设备
000032,电子检测设备
000032,税控设备
000032,税控收款机(不含限制项目)
000032,半导体照明产品；电子信息系统工程
000032,建筑智能化工程
000032,机电设备安装工程
000032,变配电工程的规划
000032,设计
000032,安装
000032,调试
000032,集成及技术咨询服务；智能交通设备及产品
000032,通信设备及产品
000032,安防监控系统产品的技术开发
000032,生产制造
000032,调试
000032,销售；软件及网络通讯产品的技术开发
000032,技术服务
000032,技术咨询；监控系统项目的设计
000032,开发
000032,咨询；国内商业
000032,物资供销业(不含专营
000032,专卖
000032,专控商品)；进出口业务按深贸管审证字第523号外贸企业审定证书规定办理；在合法取得使用权的土地上从事房地产开发经营，物业管理及自有物业租赁；兴办实业(具体项目另行申报)；仓储服务
000032,国内外货物运输及代理服务(需许可经营项目另行办理申请)。
000031,房地产开发经营
000031,国内商业
000031,物资供销业（不含专营
000031,专卖
000031,专控商品）
000031,建筑技术咨询
000031,进出口贸易。
000034,计算机硬件及配套零件的研究
000034,开发；网络产品
000034,多媒体产品
000034,电子信息产品及通讯产品
000034,办公自动化设备
000034,仪器仪表
000034,电器及印刷照排设备
000034,计算机应用系统的安装和维修；自产产品的技术咨询
000034,技术服务
000034,技术转让（法律
000034,行政法规
000034,国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；经营进出口业务（法律
000034,行政法规
000034,国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；计算机硬件
000034,软件及外围设施的代理销售；销售自产产品（法律
000034,行政法规
000034,国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；国内贸易（不含专营
000034,专卖
000034,专控商品）。
000036,投资兴办实业（具体项目另行申报）；国内商业
000036,物资供销业（不含专营
000036,专控
000036,专卖商品）；在具有合法土地使用权的地块上从事房地产开发
000036,经营；自有物业管理；房地产经纪（不含限制项目）。
000035,生活垃圾焚烧发电及蒸汽生产，自产产品销售，危险废弃物处理（前述所有范围权限仅限分支机构经营）；生活垃圾焚烧发电
000035,可再生能源项目及环保设施的投资
000035,开发；污泥处理
000035,餐厨垃圾处理
000035,建筑垃圾处理
000035,污水处理
000035,大气环境治理
000035,噪声治理
000035,土壤修复；垃圾焚烧发电成套设备
000035,环保成套设备的研发
000035,生产
000035,销售；填埋气开发与利用；垃圾分类收运体系投资与运营；企业管理咨询服务；自营和代理上述商品和技术的进出口业务；道路普通货物运输；生活垃圾经营性清扫
000035,收集
000035,运输
000035,处理服务；道路清扫保洁；河道保洁
000035,绿化管护；物业管理。（不得以公开方式募集资金；不得公开交易证券类产品和金融衍生品；不得发放贷款；不得从事融资性担保；不得向投资者承诺投资本金不受损失或者承诺最低收益；依法须经批准的项目，经相关部门批准后方可开展经营活动）。
000037,供电
000037,"供热,提供相关技术咨询和技术服务。"
000039,现代化交通运输装备
000039,能源
000039,食品
000039,"化工等装备的制造及服务业务,其中主要包括制造修理各种集装箱及其有关业务,利用现有设备加工制造各类零部件结构件和有关设备,并提供切割"
000039,冲压成型
000039,"铆接表面处理,包括喷沙喷漆"
000039,焊接和装配等加工服务;开发
000039,生产
000039,销售各种高技术
000039,高性能的专用汽车
000039,半挂车系列;集装箱租赁;压力容器
000039,压缩机等高端燃气装备产品的研发
000039,生产
000039,销售及天然气输配系统的集成业务;静态储罐
000039,罐式码头设备的生产;在LNG
000039,LPG及其他石油化工气体的存贮
000039,"处理领域,为客户提供EP+CS(设计"
000039,"采购和建造监工)等技术工程服务。除此之外,本集团还从事物流服务"
000039,海洋工程
000039,铁路货车制造
000039,房地产开发等业务。
000042,房地产开发及商品房的销售
000042,管理；承接建筑安装工程；自有物业租赁。
000045,生产
000045,经营偏光片等光学膜产品；酒店
000045,物业租赁与经营管理；生产
000045,加工纺织品
